cohort,cessation_group,n_intervals,people,conditions_at_first_interview_n,conditions_at_first_interview,conditions_at_landmark_n,conditions_at_landmark,conditions_gained_across_window_n,conditions_gained_across_window,frailty_index_at_landmark_n,frailty_index_at_landmark,frailty_index_change_n,frailty_index_change,self_rated_health_worsening_n,self_rated_health_worsening,transition_hospitalization_n,transition_hospitalization,cesd_worsening_n,cesd_worsening,bmi_or_weight_loss_n,bmi_or_weight_loss
hrs,none,50977,18258,50977,1.798,50977,1.956,50977,0.158,36429,0.196,35947,0.012,50918,24.0,50845,23.1,48794,25.3,18378,6.0
hrs,one,20083,13700,20083,2.033,20083,2.23,20083,0.197,13931,0.244,13701,0.025,20040,28.5,20017,31.4,18515,31.6,6715,8.0
hrs,two_or_more,2269,2198,2269,2.063,2269,2.323,2269,0.259,1556,0.264,1533,0.043,2263,34.5,2262,39.9,2050,37.6,749,8.3
