cohort,cessation_group,n_intervals,people,conditions_at_first_interview_n,conditions_at_first_interview,conditions_at_landmark_n,conditions_at_landmark,conditions_gained_across_window_n,conditions_gained_across_window,frailty_index_at_landmark_n,frailty_index_at_landmark,frailty_index_change_n,frailty_index_change,self_rated_health_worsening_n,self_rated_health_worsening,transition_hospitalization_n,transition_hospitalization,cesd_worsening_n,cesd_worsening,bmi_or_weight_loss_n,bmi_or_weight_loss
charls,none,1049,1049,1031,0.833,1033,0.945,1015,0.11,1028,0.203,0,,0,,1044,12.6,1030,28.5,845,8.9
charls,one,612,612,598,0.92,599,1.02,587,0.104,593,0.217,0,,0,,607,14.8,596,28.5,477,11.1
charls,two_or_more,151,151,151,0.934,151,1.033,151,0.099,142,0.255,0,,0,,150,27.3,145,27.6,112,10.7
