cohort,outcome_id,outcome_coding_status,n,people,events,loss_0_n,loss_0_events,loss_1_n,loss_1_events,loss_2_plus_n,loss_2_plus_events,any_withdrawal_n,any_withdrawal_events,fried_complete_n,fried_complete_events,nonfrail_withdrawal_n,nonfrail_withdrawal_events,four_state_neither_n,four_state_neither_events,four_state_withdrawal_only_n,four_state_withdrawal_only_events,four_state_frailty_only_n,four_state_frailty_only_events,four_state_both_n,four_state_both_events,diagnosis_or_death_n,diagnosis_or_death_events,state_alive_no_diagnosis_n,state_alive_new_diagnosis_n,state_death_n,state_unknown_n,score_support
hrs,incident_diabetes,PASS_BASELINE_FREE_RISK_SET,48433,15060,1697,35120,1154,12067,476,1246,67,13313,543,12851,399,3030,110,9132,266,3030,110,349,11,340,12,53027,6291,46736,1697,4594,20302,ESTIMABLE
hrs,incident_stroke,PASS_BASELINE_FREE_RISK_SET,58335,17698,1115,41698,727,15024,340,1613,48,16637,388,15193,294,3717,70,10603,192,3717,70,423,15,450,17,62929,5709,57220,1115,4594,10400,ESTIMABLE
hrs,incident_heart_disease,PASS_BASELINE_FREE_RISK_SET,47438,14978,2333,34085,1601,12055,648,1298,84,13353,732,11900,606,2937,153,8348,405,2937,153,305,22,310,26,52032,6927,45105,2333,4594,21297,ESTIMABLE
hrs,incident_hypertension,PASS_BASELINE_FREE_RISK_SET,23995,8193,2284,17856,1639,5569,576,570,69,6139,645,6059,600,1383,152,4430,417,1383,152,132,20,114,11,28589,6878,21711,2284,4594,44740,ESTIMABLE
hrs,incident_cancer,PASS_BASELINE_FREE_RISK_SET,53059,16585,1558,37614,1061,13937,454,1508,43,15445,497,13468,415,3319,97,9295,288,3319,97,418,14,436,16,57653,6152,51501,1558,4594,15676,ESTIMABLE
hrs,incident_arthritis,PASS_BASELINE_FREE_RISK_SET,23456,8237,2170,17311,1523,5555,590,590,57,6145,647,5679,503,1327,133,4128,346,1327,133,113,10,111,14,28050,6764,21286,2170,4594,45279,ESTIMABLE
