cohort,outcome_id,outcome_coding_status,n,people,events,loss_0_n,loss_0_events,loss_1_n,loss_1_events,loss_2_plus_n,loss_2_plus_events,any_withdrawal_n,any_withdrawal_events,diagnosis_or_death_n,diagnosis_or_death_events,state_alive_no_diagnosis_n,state_alive_new_diagnosis_n,state_death_n,state_unknown_n,score_support
klosa,incident_diabetes,PASS_BASELINE_FREE_RISK_SET,13243,4606,384,9309,247,3653,126,281,11,3934,137,13857,998,12859,384,614,3894,NOT_EVALUABLE_CATEGORY_SUPPORT
klosa,incident_stroke,PASS_BASELINE_FREE_RISK_SET,15611,5310,191,10917,129,4378,58,316,4,4694,62,16225,805,15420,191,614,1526,NOT_EVALUABLE_CATEGORY_SUPPORT
klosa,incident_heart_disease,PASS_BASELINE_FREE_RISK_SET,15004,5121,200,10479,133,4200,63,325,4,4525,67,15618,814,14804,200,614,2133,NOT_EVALUABLE_CATEGORY_SUPPORT
klosa,incident_hypertension,PASS_BASELINE_FREE_RISK_SET,8949,3266,597,6405,440,2361,148,183,9,2544,157,9563,1211,8352,597,614,8188,NOT_EVALUABLE_CATEGORY_SUPPORT
klosa,incident_cancer,PASS_BASELINE_FREE_RISK_SET,15525,5286,222,10837,167,4370,49,318,6,4688,55,16139,836,15303,222,614,1612,NOT_EVALUABLE_CATEGORY_SUPPORT
klosa,incident_arthritis,PASS_BASELINE_FREE_RISK_SET,12556,4300,220,8880,156,3390,61,286,3,3676,64,13170,834,12336,220,614,4581,NOT_EVALUABLE_CATEGORY_SUPPORT
