cohort,outcome_id,outcome_coding_status,n,people,events,loss_0_n,loss_0_events,loss_1_n,loss_1_events,loss_2_plus_n,loss_2_plus_events,any_withdrawal_n,any_withdrawal_events,fried_complete_n,fried_complete_events,nonfrail_withdrawal_n,nonfrail_withdrawal_events,four_state_neither_n,four_state_neither_events,four_state_withdrawal_only_n,four_state_withdrawal_only_events,four_state_frailty_only_n,four_state_frailty_only_events,four_state_both_n,four_state_both_events,diagnosis_or_death_n,diagnosis_or_death_events,state_alive_no_diagnosis_n,state_alive_new_diagnosis_n,state_death_n,state_unknown_n,score_support
charls,incident_diabetes,PASS_BASELINE_FREE_RISK_SET,1537,1537,31,899,15,521,14,117,2,638,16,1156,22,425,9,669,11,425,9,20,0,42,2,1595,89,1506,31,58,217,NOT_EVALUABLE_CATEGORY_SUPPORT
charls,incident_stroke,PASS_BASELINE_FREE_RISK_SET,1624,1624,8,957,5,543,2,124,1,667,3,1215,6,447,3,705,3,447,3,21,0,42,0,1682,66,1616,8,58,130,NOT_EVALUABLE_CATEGORY_SUPPORT
charls,incident_heart_disease,PASS_BASELINE_FREE_RISK_SET,1407,1407,46,840,31,462,12,105,3,567,15,1057,37,381,11,622,24,381,11,18,0,36,2,1465,104,1361,46,58,347,NOT_EVALUABLE_CATEGORY_SUPPORT
charls,incident_hypertension,PASS_BASELINE_FREE_RISK_SET,1099,1099,80,659,43,359,30,81,7,440,37,811,59,289,24,477,33,289,24,17,1,28,1,1157,138,1019,80,58,655,NOT_EVALUABLE_CATEGORY_SUPPORT
charls,incident_cancer,PASS_BASELINE_FREE_RISK_SET,1657,1657,4,972,1,554,2,131,1,685,3,1240,1,458,0,718,1,458,0,20,0,44,0,1715,62,1653,4,58,97,NOT_EVALUABLE_CATEGORY_SUPPORT
charls,incident_arthritis,PASS_BASELINE_FREE_RISK_SET,1016,1016,29,593,19,341,7,82,3,423,10,756,21,292,8,433,12,292,8,10,1,21,0,1074,87,987,29,58,738,NOT_EVALUABLE_CATEGORY_SUPPORT
