cohort,t1_wave,behavior_complete_n,shrinking_observed_n,shrinking_deficit_n,exhaustion_observed_n,exhaustion_deficit_n,weakness_observed_n,weakness_deficit_n,slowness_observed_n,slowness_deficit_n,low_activity_observed_n,low_activity_deficit_n,fried5_complete_n,fried_robust_n,fried_prefrail_n,fried_frail_n,fi_complete_n
charls,2,2360,1814,197,2303,708,1832,361,1735,333,2347,320,1675,722,837,116,2287
charls,3,1429,1224,140,1420,508,1235,273,1178,221,1424,204,1162,433,633,96,1413
