cohort,scope,intervals,people,loss_0_n,loss_1_n,loss_2_plus_n,direction_stable_n,direction_expansion_n,direction_mixed_n,direction_contraction_1_n,direction_contraction_2_plus_n
klosa,comparable_22_30_months,17751,5983,12143,5197,411,10583,1560,662,4565,381
klosa,all_primary_wave_intervals,17751,5983,12143,5197,411,10583,1560,662,4565,381
