cohort,scope,intervals,people,loss_0_n,loss_1_n,loss_2_plus_n,direction_stable_n,direction_expansion_n,direction_mixed_n,direction_contraction_1_n,direction_contraction_2_plus_n
share,comparable_22_30_months,78247,45365,57487,18603,2157,46903,10584,2395,16299,2066
share,all_primary_wave_intervals,102094,51087,75234,24081,2779,62185,13049,2957,21239,2664
