cohort,t1_wave,behavior_complete_n,shrinking_observed_n,shrinking_deficit_n,exhaustion_observed_n,exhaustion_deficit_n,weakness_observed_n,weakness_deficit_n,slowness_observed_n,slowness_deficit_n,low_activity_observed_n,low_activity_deficit_n,fried5_complete_n,fried_robust_n,fried_prefrail_n,fried_frail_n,fi_complete_n
share,2,14015,13780,957,13830,4637,13123,2936,14012,2896,14014,2976,13024,6023,5345,1656,0
share,4,14547,14286,1202,14353,5331,13623,2562,14540,2885,14546,3123,13543,6005,5818,1720,14282
share,5,28452,27962,2065,27993,10854,26521,5426,28443,5873,28451,5876,26350,11473,11456,3421,27762
share,6,36116,35527,2560,34676,13058,33443,6324,36112,7083,36110,6918,33183,14931,14502,3750,34630
share,7,12544,12283,812,12317,4493,11701,2475,12544,2644,12544,2504,11637,5253,4940,1444,12343
share,8,8215,8068,561,8066,2842,7697,1748,8214,1705,8214,1784,7657,3412,3260,985,8087
