cohort,outcome_id,outcome_coding_status,n,people,events,loss_0_n,loss_0_events,loss_1_n,loss_1_events,loss_2_plus_n,loss_2_plus_events,any_withdrawal_n,any_withdrawal_events,fried_complete_n,fried_complete_events,nonfrail_withdrawal_n,nonfrail_withdrawal_events,four_state_neither_n,four_state_neither_events,four_state_withdrawal_only_n,four_state_withdrawal_only_events,four_state_frailty_only_n,four_state_frailty_only_events,four_state_both_n,four_state_both_events,diagnosis_or_death_n,diagnosis_or_death_events,state_alive_no_diagnosis_n,state_alive_new_diagnosis_n,state_death_n,state_unknown_n,score_support
share,incident_diabetes,PASS_BASELINE_FREE_RISK_SET,51749,29779,1510,39082,1037,11425,413,1242,60,12667,473,49207,1378,9656,283,36306,907,9656,283,1191,56,2054,132,55103,4864,50239,1510,3354,23144,ESTIMABLE
share,incident_stroke,PASS_BASELINE_FREE_RISK_SET,57656,33234,1233,43257,847,12984,339,1415,47,14399,386,54816,1127,10842,221,40147,732,10842,221,1374,60,2453,114,61010,4587,56423,1233,3354,17237,ESTIMABLE
share,incident_heart_disease,PASS_BASELINE_FREE_RISK_SET,49091,28581,2480,37137,1789,10783,610,1171,81,11954,691,46684,2322,9348,448,34665,1589,9348,448,960,111,1711,174,52445,5834,46611,2480,3354,25802,ESTIMABLE
share,incident_hypertension,PASS_BASELINE_FREE_RISK_SET,27732,16671,3252,21213,2403,5902,763,617,86,6519,849,26514,3048,5333,634,19972,2191,5333,634,446,86,763,137,31086,6606,24480,3252,3354,47161,ESTIMABLE
share,incident_cancer,PASS_BASELINE_FREE_RISK_SET,55143,31967,1488,41113,1094,12628,351,1402,43,14030,394,52253,1411,10337,282,37945,999,10337,282,1425,45,2546,85,58497,4842,53655,1488,3354,19750,ESTIMABLE
share,incident_arthritis,PASS_BASELINE_FREE_RISK_SET,35752,22149,4332,27213,3245,7687,990,852,97,8539,1087,34112,4116,6927,809,25695,3014,6927,809,495,109,995,184,39106,7686,31420,4332,3354,39141,ESTIMABLE
