cohort,outcome_id,outcome_coding_status,n,people,events,loss_0_n,loss_0_events,loss_1_n,loss_1_events,loss_2_plus_n,loss_2_plus_events,any_withdrawal_n,any_withdrawal_events,fried_complete_n,fried_complete_events,nonfrail_withdrawal_n,nonfrail_withdrawal_events,four_state_neither_n,four_state_neither_events,four_state_withdrawal_only_n,four_state_withdrawal_only_events,four_state_frailty_only_n,four_state_frailty_only_events,four_state_both_n,four_state_both_events,diagnosis_or_death_n,diagnosis_or_death_events,state_alive_no_diagnosis_n,state_alive_new_diagnosis_n,state_death_n,state_unknown_n,score_support
elsa,incident_diabetes,PASS_BASELINE_FREE_RISK_SET,27503,8324,478,21892,358,5233,101,378,19,5611,120,12872,267,2382,60,9931,182,2382,60,348,16,211,9,28087,1062,27025,478,584,6568,NOT_EVALUABLE_CATEGORY_SUPPORT
elsa,incident_stroke,PASS_BASELINE_FREE_RISK_SET,29362,8803,324,23269,245,5685,71,408,8,6093,79,13666,128,2550,26,10480,90,2550,26,384,9,252,3,29946,908,29038,324,584,4709,NOT_EVALUABLE_CATEGORY_SUPPORT
elsa,incident_heart_disease,PASS_BASELINE_FREE_RISK_SET,24929,7673,977,19795,746,4792,220,342,11,5134,231,11631,428,2186,87,8981,297,2186,87,278,29,186,15,25513,1561,23952,977,584,9142,NOT_EVALUABLE_CATEGORY_SUPPORT
elsa,incident_hypertension,PASS_BASELINE_FREE_RISK_SET,16909,5397,892,13542,701,3165,169,202,22,3367,191,7989,459,1463,83,6238,362,1463,83,174,6,114,8,17493,1476,16017,892,584,17162,ESTIMABLE
elsa,incident_cancer,PASS_BASELINE_FREE_RISK_SET,27272,8386,732,21543,571,5344,149,385,12,5729,161,12674,365,2401,58,9655,282,2401,58,372,14,246,11,27856,1316,26540,732,584,6799,NOT_EVALUABLE_CATEGORY_SUPPORT
elsa,incident_arthritis,PASS_BASELINE_FREE_RISK_SET,18407,5909,983,14791,757,3375,213,241,13,3616,226,8676,451,1585,88,6866,344,1585,88,129,10,96,9,18991,1567,17424,983,584,15664,NOT_EVALUABLE_CATEGORY_SUPPORT
