outcome_id,model_status,k_cohorts,cohorts,pooled_ratio_of_risk_ratios,ci_low,ci_high,prediction_low,prediction_high,i2,tau2_log_scale
incident_any_adl,PASS_DESCRIPTIVE_K2,2,elsa;hrs,1.3822720603331755,0.8139107886558252,2.3475251531352788,,,0.0,4.2300630066830894e-13
mortality,NOT_EVALUABLE_META_K1,1,hrs,,,,,,,
