cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,model_status
charls,incident_hypertension,frailty_head_to_head,M4_fried4_withdrawal,PASS_BASELINE_FREE_RISK_SET,575,575,35,540,17,17,NOT_EVALUABLE_EPV
charls,incident_hypertension,frailty_head_to_head,M5_fi_withdrawal,PASS_BASELINE_FREE_RISK_SET,757,757,51,706,17,17,NOT_EVALUABLE_EPV
charls,incident_hypertension,frailty_head_to_head,nonfrail_withdrawal,PASS_BASELINE_FREE_RISK_SET,537,537,33,504,16,16,NOT_EVALUABLE_EPV
charls,incident_hypertension,frailty_head_to_head,nonfrail_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,537,537,33,504,15,15,NOT_EVALUABLE_EPV
charls,incident_hypertension,frailty_head_to_head,four_state,PASS_BASELINE_FREE_RISK_SET,569,569,35,534,17,17,NOT_EVALUABLE_EPV
charls,incident_cancer,frailty_head_to_head,M0_routine,PASS_BASELINE_FREE_RISK_SET,889,889,1,888,14,14,NOT_EVALUABLE_EPV
charls,incident_cancer,frailty_head_to_head,M1_withdrawal,PASS_BASELINE_FREE_RISK_SET,889,889,1,888,16,16,NOT_EVALUABLE_EPV
charls,incident_cancer,frailty_head_to_head,M2_fried,PASS_BASELINE_FREE_RISK_SET,889,889,1,888,16,16,NOT_EVALUABLE_EPV
charls,incident_cancer,frailty_head_to_head,M3_fried_withdrawal,PASS_BASELINE_FREE_RISK_SET,889,889,1,888,18,18,NOT_EVALUABLE_EPV
charls,incident_cancer,frailty_head_to_head,M1b_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,889,889,1,888,15,15,NOT_EVALUABLE_EPV
charls,incident_cancer,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,889,889,1,888,17,17,NOT_EVALUABLE_EPV
charls,incident_cancer,frailty_head_to_head,M4_fried4_withdrawal,PASS_BASELINE_FREE_RISK_SET,896,896,1,895,17,17,NOT_EVALUABLE_EPV
charls,incident_cancer,frailty_head_to_head,M5_fi_withdrawal,PASS_BASELINE_FREE_RISK_SET,1154,1154,2,1152,17,17,NOT_EVALUABLE_EPV
charls,incident_cancer,frailty_head_to_head,nonfrail_withdrawal,PASS_BASELINE_FREE_RISK_SET,843,843,1,842,16,16,NOT_EVALUABLE_EPV
charls,incident_cancer,frailty_head_to_head,nonfrail_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,843,843,1,842,15,15,NOT_EVALUABLE_EPV
charls,incident_cancer,frailty_head_to_head,four_state,PASS_BASELINE_FREE_RISK_SET,889,889,1,888,17,17,NOT_EVALUABLE_EPV
charls,incident_arthritis,frailty_head_to_head,M0_routine,PASS_BASELINE_FREE_RISK_SET,536,536,16,520,14,14,NOT_EVALUABLE_EPV
charls,incident_arthritis,frailty_head_to_head,M1_withdrawal,PASS_BASELINE_FREE_RISK_SET,536,536,16,520,16,16,NOT_EVALUABLE_EPV
charls,incident_arthritis,frailty_head_to_head,M2_fried,PASS_BASELINE_FREE_RISK_SET,536,536,16,520,16,16,NOT_EVALUABLE_EPV
charls,incident_arthritis,frailty_head_to_head,M3_fried_withdrawal,PASS_BASELINE_FREE_RISK_SET,536,536,16,520,18,18,NOT_EVALUABLE_EPV
charls,incident_arthritis,frailty_head_to_head,M1b_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,536,536,16,520,15,15,NOT_EVALUABLE_EPV
charls,incident_arthritis,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,536,536,16,520,17,17,NOT_EVALUABLE_EPV
charls,incident_arthritis,frailty_head_to_head,M4_fried4_withdrawal,PASS_BASELINE_FREE_RISK_SET,541,541,16,525,17,17,NOT_EVALUABLE_EPV
charls,incident_arthritis,frailty_head_to_head,M5_fi_withdrawal,PASS_BASELINE_FREE_RISK_SET,692,692,22,670,17,17,NOT_EVALUABLE_EPV
charls,incident_arthritis,frailty_head_to_head,nonfrail_withdrawal,PASS_BASELINE_FREE_RISK_SET,514,514,15,499,16,16,NOT_EVALUABLE_EPV
charls,incident_arthritis,frailty_head_to_head,nonfrail_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,514,514,15,499,15,15,NOT_EVALUABLE_EPV
charls,incident_arthritis,frailty_head_to_head,four_state,PASS_BASELINE_FREE_RISK_SET,536,536,16,520,17,17,NOT_EVALUABLE_EPV
