cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,two_domain_any_n,two_domain_any_events,two_domain_any_nonevents,alcohol_loss_n,alcohol_loss_events,alcohol_loss_nonevents,activity_loss_n,activity_loss_events,activity_loss_nonevents,work_loss_n,work_loss_events,work_loss_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,direction_expansion_n,direction_expansion_events,direction_expansion_nonevents,direction_mixed_n,direction_mixed_events,direction_mixed_nonevents,direction_contraction_1_n,direction_contraction_1_events,direction_contraction_1_nonevents,direction_contraction_2_plus_n,direction_contraction_2_plus_events,direction_contraction_2_plus_nonevents
hrs,incident_diabetes,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,48067,14955,1689,46378,20,20,,,,PASS,,activity_loss,risk_ratio,1.2654539688791324,0.06507499689202312,1.113921058934425,1.4376007478338,0.0002970719473536696,,,,3498.0,153.0,3345.0,6608.0,285.0,6323.0,4399.0,173.0,4226.0,,,,,,,,,,,,,,,,,,
hrs,incident_diabetes,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,48067,14955,1689,46378,20,20,,,,PASS,,work_loss,risk_ratio,1.159712436070416,0.08295815303419145,0.985680594307512,1.3644713532391888,0.07408205869088995,,,,3498.0,153.0,3345.0,6608.0,285.0,6323.0,4399.0,173.0,4226.0,,,,,,,,,,,,,,,,,,
hrs,incident_stroke,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,57907,17573,1108,56799,21,21,16514.0,385.0,16129.0,PASS,,any_withdrawal,risk_ratio,1.0071994792174752,0.10942804175423952,0.8127746963929016,1.2481328410420394,0.9477311606861855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrs,incident_stroke,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,57907,17573,1108,56799,21,21,,,,PASS,,two_domain_any,risk_ratio,0.9937310941282411,0.11072412072534156,0.7998717098887653,1.2345748389759137,0.9547080542256108,12136.0,320.0,11816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrs,incident_stroke,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,57907,17573,1108,56799,23,23,,,,PASS,,alcohol_loss,risk_ratio,1.2278093538166557,0.1281994097350791,0.9550088633186912,1.5785359353430501,0.10940402322783695,,,,4406.0,116.0,4290.0,8416.0,230.0,8186.0,5371.0,92.0,5279.0,,,,,,,,,,,,,,,,,,
hrs,incident_stroke,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,57907,17573,1108,56799,23,23,,,,PASS,,activity_loss,risk_ratio,1.016865667250096,0.1278960278121455,0.7914040858734422,1.3065585630516163,0.8959568999144693,,,,4406.0,116.0,4290.0,8416.0,230.0,8186.0,5371.0,92.0,5279.0,,,,,,,,,,,,,,,,,,
hrs,incident_stroke,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,57907,17573,1108,56799,23,23,,,,PASS,,work_loss,risk_ratio,1.20346722254166,0.13292026792237274,0.9274538944851933,1.5616230244373186,0.16350877627136062,,,,4406.0,116.0,4290.0,8416.0,230.0,8186.0,5371.0,92.0,5279.0,,,,,,,,,,,,,,,,,,
hrs,incident_stroke,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,57907,17573,1108,56799,22,22,,,,PASS,,loss_1,risk_ratio,1.046314038797489,0.10954895353735049,0.8441387057375314,1.2969113492174258,0.6794071161635161,,,,,,,,,,,,,14917.0,338.0,14579.0,1597.0,47.0,1550.0,,,,,,,,,,,,
hrs,incident_stroke,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,57907,17573,1108,56799,22,22,,,,PASS,,loss_2plus,risk_ratio,1.3647398227066918,0.22414529749288797,0.8795429283943048,2.1175939497139757,0.1653407393115397,,,,,,,,,,,,,14917.0,338.0,14579.0,1597.0,47.0,1550.0,,,,,,,,,,,,
hrs,incident_stroke,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,57907,17573,1108,56799,24,24,,,,PASS,,direction_expansion,risk_ratio,1.6896567420807,0.3608723854533217,0.8329584805012835,3.427469643313591,0.14608699029135783,,,,,,,,,,,,,,,,,,,6616.0,123.0,6493.0,2043.0,39.0,2004.0,12979.0,300.0,12679.0,1492.0,46.0,1446.0
hrs,incident_stroke,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,57907,17573,1108,56799,24,24,,,,PASS,,direction_mixed,risk_ratio,0.9614282370875752,0.16575167067839489,0.6947503837101208,1.3304695855410975,0.8124124475355132,,,,,,,,,,,,,,,,,,,6616.0,123.0,6493.0,2043.0,39.0,2004.0,12979.0,300.0,12679.0,1492.0,46.0,1446.0
hrs,incident_stroke,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,57907,17573,1108,56799,24,24,,,,PASS,,direction_contraction_1,risk_ratio,0.7029080048182812,0.3512589591485574,0.3531069950788607,1.3992349914429538,0.3155635403422422,,,,,,,,,,,,,,,,,,,6616.0,123.0,6493.0,2043.0,39.0,2004.0,12979.0,300.0,12679.0,1492.0,46.0,1446.0
hrs,incident_stroke,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,57907,17573,1108,56799,24,24,,,,PASS,,direction_contraction_2_plus,risk_ratio,0.6022388424394851,0.7112373227426769,0.14940407944186904,2.4275884881976673,0.47585536841632003,,,,,,,,,,,,,,,,,,,6616.0,123.0,6493.0,2043.0,39.0,2004.0,12979.0,300.0,12679.0,1492.0,46.0,1446.0
hrs,incident_stroke,current_state_decomposition,three_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,57907,17573,1108,56799,18,18,16514.0,385.0,16129.0,PASS,,any_withdrawal,risk_ratio,1.2414650772908697,0.06357701728910607,1.0960179125850515,1.4062138222701945,0.0006688238305420184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrs,incident_stroke,current_state_decomposition,two_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,57907,17573,1108,56799,18,18,,,,PASS,,two_domain_any,risk_ratio,1.2650049325865425,0.06698764032460691,1.1093593194530622,1.4424879760844613,0.00044938126013310847,12136.0,320.0,11816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrs,incident_stroke,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,57907,17573,1108,56799,20,20,,,,PASS,,alcohol_loss,risk_ratio,1.3004839428232358,0.09820596736426364,1.0727831001200268,1.5765148475510522,0.007464872162513318,,,,4406.0,116.0,4290.0,8416.0,230.0,8186.0,5371.0,92.0,5279.0,,,,,,,,,,,,,,,,,,
hrs,incident_stroke,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,57907,17573,1108,56799,20,20,,,,PASS,,activity_loss,risk_ratio,1.253014709530504,0.07446980252147561,1.082847650375824,1.4499231371605203,0.002455459654858801,,,,4406.0,116.0,4290.0,8416.0,230.0,8186.0,5371.0,92.0,5279.0,,,,,,,,,,,,,,,,,,
hrs,incident_stroke,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,57907,17573,1108,56799,20,20,,,,PASS,,work_loss,risk_ratio,1.2076903747273937,0.11271786207656809,0.9683001226133903,1.5062644392450717,0.09409564023151944,,,,4406.0,116.0,4290.0,8416.0,230.0,8186.0,5371.0,92.0,5279.0,,,,,,,,,,,,,,,,,,
