cohort,outcome_id,analysis_family,n,people,events,nonevents,parameters,matrix_rank,prefrail_n,prefrail_events,prefrail_nonevents,frail_n,frail_events,frail_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,model_id,model_status,metric,estimate,ci_low,ci_high,bootstrap_replicates,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents
share,incident_diabetes,head_to_head_cv_binary_flag,28199,19990,827,27372,20,20,11912,366,11546,2033,129,1904,,,,,,,M3b_fried_any_withdrawal,PASS,c_statistic,0.6519525597522319,0.6319044808593705,0.6696972940867303,500,7312.0,260.0,7052.0
share,incident_diabetes,head_to_head_cv_binary_flag,28199,19990,827,27372,20,20,11912,366,11546,2033,129,1904,,,,,,,M3b_fried_any_withdrawal,PASS,brier_score,0.02823968015200074,0.02643468790018859,0.030066544752812237,500,7312.0,260.0,7052.0
share,incident_diabetes,head_to_head_cv_binary_flag,28199,19990,827,27372,20,20,11912,366,11546,2033,129,1904,,,,,,,M1b_any_withdrawal_minus_M0_routine,PASS,delta_c_statistic,-0.0002957593890684507,-0.000735434259894141,0.00015453292493433608,500,7312.0,260.0,7052.0
share,incident_diabetes,head_to_head_cv_binary_flag,28199,19990,827,27372,20,20,11912,366,11546,2033,129,1904,,,,,,,M1b_any_withdrawal_minus_M0_routine,PASS,delta_brier_score,2.2729114579136955e-06,-2.6854292202475523e-07,4.5210708525545046e-06,500,7312.0,260.0,7052.0
share,incident_diabetes,head_to_head_cv_binary_flag,28199,19990,827,27372,20,20,11912,366,11546,2033,129,1904,,,,,,,M2_fried_minus_M0_routine,PASS,delta_c_statistic,0.003119941277514471,-0.0004007016565789612,0.006640689242824279,500,7312.0,260.0,7052.0
share,incident_diabetes,head_to_head_cv_binary_flag,28199,19990,827,27372,20,20,11912,366,11546,2033,129,1904,,,,,,,M2_fried_minus_M0_routine,PASS,delta_brier_score,-4.313788843735705e-06,-3.4245223111513485e-05,2.287622056568701e-05,500,7312.0,260.0,7052.0
share,incident_diabetes,head_to_head_cv_binary_flag,28199,19990,827,27372,20,20,11912,366,11546,2033,129,1904,,,,,,,M3b_fried_any_withdrawal_minus_M0_routine,PASS,delta_c_statistic,0.0028497598849017702,-0.0007744485052793514,0.006413979236499781,500,7312.0,260.0,7052.0
share,incident_diabetes,head_to_head_cv_binary_flag,28199,19990,827,27372,20,20,11912,366,11546,2033,129,1904,,,,,,,M3b_fried_any_withdrawal_minus_M0_routine,PASS,delta_brier_score,-1.9843684838198594e-06,-3.2180237989860946e-05,2.4803495567251948e-05,500,7312.0,260.0,7052.0
share,incident_diabetes,head_to_head_cv_binary_flag,28199,19990,827,27372,20,20,11912,366,11546,2033,129,1904,,,,,,,M3b_fried_any_withdrawal_minus_M2_fried,PASS,delta_c_statistic,-0.0002701813926127006,-0.0006937058845219335,0.0001548858093895039,500,7312.0,260.0,7052.0
share,incident_diabetes,head_to_head_cv_binary_flag,28199,19990,827,27372,20,20,11912,366,11546,2033,129,1904,,,,,,,M3b_fried_any_withdrawal_minus_M2_fried,PASS,delta_brier_score,2.329420359915846e-06,-1.7408146322306707e-07,4.623769622451225e-06,500,7312.0,260.0,7052.0
share,incident_stroke,head_to_head_cv,31291,22245,667,30624,21,21,13420,333,13087,2354,109,2245,7426.0,190.0,7236.0,792.0,25.0,767.0,M0_routine,PASS,c_statistic,0.6567511943479671,0.6372687512514768,0.6745086910888985,500,,,
share,incident_stroke,head_to_head_cv,31291,22245,667,30624,21,21,13420,333,13087,2354,109,2245,7426.0,190.0,7236.0,792.0,25.0,767.0,M0_routine,PASS,brier_score,0.020754320478887294,0.01922300188542155,0.02248273708760808,500,,,
