cohort,outcome_id,analysis_family,model_id,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents
share,incident_diabetes,delayed_outcome,delayed_any,23585,15426,663,22922,19,19,5829.0,190.0,5639.0,PASS,,any_withdrawal,risk_ratio,1.2910830590842297,0.1454961512287285,0.9707505250605416,1.7171203336205614,0.07909990401806791,,,,,,
share,incident_diabetes,delayed_outcome,delayed_gradient,23585,15426,663,22922,20,20,,,,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,5273.0,176.0,5097.0,556.0,14.0,542.0
share,incident_stroke,delayed_outcome,delayed_any,26299,17267,602,25697,19,19,6630.0,153.0,6477.0,PASS,,any_withdrawal,risk_ratio,0.9379504814589497,0.15629700588557072,0.6904618030899531,1.2741488402863348,0.6819169470269757,,,,,,
share,incident_stroke,delayed_outcome,delayed_gradient,26299,17267,602,25697,20,20,,,,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,6011.0,139.0,5872.0,619.0,14.0,605.0
share,incident_heart_disease,delayed_outcome,delayed_any,22094,14589,1139,20955,19,19,5511.0,286.0,5225.0,PASS,,any_withdrawal,risk_ratio,0.936839169341529,0.11175621526545124,0.752554535401284,1.166251198983909,0.5593526068819978,,,,,,
share,incident_heart_disease,delayed_outcome,delayed_gradient,22094,14589,1139,20955,20,20,,,,PASS,,loss_1,risk_ratio,0.9556386062789021,0.1133041370502575,0.7653305153712859,1.1932689569651334,0.6888067582526449,5018.0,256.0,4762.0,493.0,30.0,463.0
share,incident_heart_disease,delayed_outcome,delayed_gradient,22094,14589,1139,20955,20,20,,,,PASS,,loss_2plus,risk_ratio,1.1544016153165815,0.2593000016965713,0.6944490116937604,1.918993427890721,0.579763804959778,5018.0,256.0,4762.0,493.0,30.0,463.0
