cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,model_status
charls,incident_heart_disease,clinical_context,plus_fi_change,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS
charls,incident_heart_disease,clinical_context,base_same_set_joint_context,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS
charls,incident_heart_disease,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,21,0,NOT_EVALUABLE_CLUSTERS
charls,incident_hypertension,clinical_context,base_same_set_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,772,772,50,722,15,15,NOT_EVALUABLE_EPV
charls,incident_hypertension,clinical_context,plus_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,772,772,50,722,16,16,NOT_EVALUABLE_EPV
charls,incident_hypertension,clinical_context,base_same_set_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,760,760,51,709,15,15,NOT_EVALUABLE_EPV
charls,incident_hypertension,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,760,760,51,709,16,16,NOT_EVALUABLE_EPV
charls,incident_hypertension,clinical_context,base_same_set_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,610,610,37,573,15,15,NOT_EVALUABLE_EPV
charls,incident_hypertension,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,610,610,37,573,16,16,NOT_EVALUABLE_EPV
charls,incident_hypertension,clinical_context,base_same_set_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,764,764,51,713,15,15,NOT_EVALUABLE_EPV
charls,incident_hypertension,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,764,764,51,713,16,16,NOT_EVALUABLE_EPV
charls,incident_hypertension,clinical_context,base_same_set_fi_change,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS
charls,incident_hypertension,clinical_context,plus_fi_change,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS
charls,incident_hypertension,clinical_context,base_same_set_joint_context,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS
charls,incident_hypertension,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,21,0,NOT_EVALUABLE_CLUSTERS
charls,incident_cancer,clinical_context,base_same_set_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,1176,1176,2,1174,15,15,NOT_EVALUABLE_EPV
charls,incident_cancer,clinical_context,plus_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,1176,1176,2,1174,16,16,NOT_EVALUABLE_EPV
charls,incident_cancer,clinical_context,base_same_set_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,1156,1156,2,1154,15,15,NOT_EVALUABLE_EPV
charls,incident_cancer,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,1156,1156,2,1154,16,16,NOT_EVALUABLE_EPV
charls,incident_cancer,clinical_context,base_same_set_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,958,958,1,957,15,15,NOT_EVALUABLE_EPV
charls,incident_cancer,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,958,958,1,957,16,16,NOT_EVALUABLE_EPV
charls,incident_cancer,clinical_context,base_same_set_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,1162,1162,2,1160,15,15,NOT_EVALUABLE_EPV
charls,incident_cancer,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,1162,1162,2,1160,16,16,NOT_EVALUABLE_EPV
charls,incident_cancer,clinical_context,base_same_set_fi_change,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS
charls,incident_cancer,clinical_context,plus_fi_change,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS
charls,incident_cancer,clinical_context,base_same_set_joint_context,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS
