cohort,outcome_id,analysis_family,n,people,events,nonevents,parameters,matrix_rank,prefrail_n,prefrail_events,prefrail_nonevents,frail_n,frail_events,frail_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,model_id,model_status,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,metric,estimate,ci_low,ci_high,bootstrap_replicates
hrs,incident_stroke,head_to_head_cv,15075,9366,292,14783,23,23,6692,151,6541,864,32,832,3741.0,75.0,3666.0,393.0,11.0,382.0,M3_fried_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
hrs,incident_stroke,head_to_head_cv_binary_flag,15075,9366,292,14783,22,22,6692,151,6541,864,32,832,,,,,,,M0_routine,PASS,4134.0,86.0,4048.0,c_statistic,0.6523406189449377,0.6213213873281591,0.6855540705675557,500.0
hrs,incident_stroke,head_to_head_cv_binary_flag,15075,9366,292,14783,22,22,6692,151,6541,864,32,832,,,,,,,M0_routine,PASS,4134.0,86.0,4048.0,brier_score,0.01890568154097681,0.016924386048180598,0.021140695544967503,500.0
hrs,incident_stroke,head_to_head_cv_binary_flag,15075,9366,292,14783,22,22,6692,151,6541,864,32,832,,,,,,,M1b_any_withdrawal,PASS,4134.0,86.0,4048.0,c_statistic,0.651409338197615,0.6190154235272092,0.6828398636335075,500.0
hrs,incident_stroke,head_to_head_cv_binary_flag,15075,9366,292,14783,22,22,6692,151,6541,864,32,832,,,,,,,M1b_any_withdrawal,PASS,4134.0,86.0,4048.0,brier_score,0.018896415819023578,0.016919822667485786,0.021124058419447443,500.0
hrs,incident_stroke,head_to_head_cv_binary_flag,15075,9366,292,14783,22,22,6692,151,6541,864,32,832,,,,,,,M2_fried,PASS,4134.0,86.0,4048.0,c_statistic,0.6508792958220244,0.6209839317757925,0.682575779909203,500.0
hrs,incident_stroke,head_to_head_cv_binary_flag,15075,9366,292,14783,22,22,6692,151,6541,864,32,832,,,,,,,M2_fried,PASS,4134.0,86.0,4048.0,brier_score,0.01890521501966093,0.016926511403212594,0.02114533417385371,500.0
hrs,incident_stroke,head_to_head_cv_binary_flag,15075,9366,292,14783,22,22,6692,151,6541,864,32,832,,,,,,,M3b_fried_any_withdrawal,PASS,4134.0,86.0,4048.0,c_statistic,0.6502572836810887,0.6195951501199767,0.6821265755744679,500.0
hrs,incident_stroke,head_to_head_cv_binary_flag,15075,9366,292,14783,22,22,6692,151,6541,864,32,832,,,,,,,M3b_fried_any_withdrawal,PASS,4134.0,86.0,4048.0,brier_score,0.018896475115709518,0.016921831276529,0.021128672215808084,500.0
hrs,incident_stroke,head_to_head_cv_binary_flag,15075,9366,292,14783,22,22,6692,151,6541,864,32,832,,,,,,,M1b_any_withdrawal_minus_M0_routine,PASS,4134.0,86.0,4048.0,delta_c_statistic,-0.000931280747322627,-0.005913880149536374,0.0038088991263925008,500.0
hrs,incident_stroke,head_to_head_cv_binary_flag,15075,9366,292,14783,22,22,6692,151,6541,864,32,832,,,,,,,M1b_any_withdrawal_minus_M0_routine,PASS,4134.0,86.0,4048.0,delta_brier_score,-9.265721953231193e-06,-2.2508097846179152e-05,4.9205546415846595e-06,500.0
hrs,incident_stroke,head_to_head_cv_binary_flag,15075,9366,292,14783,22,22,6692,151,6541,864,32,832,,,,,,,M2_fried_minus_M0_routine,PASS,4134.0,86.0,4048.0,delta_c_statistic,-0.0014613231229132495,-0.007382287775148114,0.004978331995587171,500.0
hrs,incident_stroke,head_to_head_cv_binary_flag,15075,9366,292,14783,22,22,6692,151,6541,864,32,832,,,,,,,M2_fried_minus_M0_routine,PASS,4134.0,86.0,4048.0,delta_brier_score,-4.665213158804027e-07,-2.0527199556657008e-05,1.830577187259088e-05,500.0
hrs,incident_stroke,head_to_head_cv_binary_flag,15075,9366,292,14783,22,22,6692,151,6541,864,32,832,,,,,,,M3b_fried_any_withdrawal_minus_M0_routine,PASS,4134.0,86.0,4048.0,delta_c_statistic,-0.002083335263848962,-0.009980422130768076,0.005225931606845626,500.0
hrs,incident_stroke,head_to_head_cv_binary_flag,15075,9366,292,14783,22,22,6692,151,6541,864,32,832,,,,,,,M3b_fried_any_withdrawal_minus_M0_routine,PASS,4134.0,86.0,4048.0,delta_brier_score,-9.206425267291318e-06,-3.5085476720283536e-05,1.541172227754451e-05,500.0
hrs,incident_stroke,head_to_head_cv_binary_flag,15075,9366,292,14783,22,22,6692,151,6541,864,32,832,,,,,,,M3b_fried_any_withdrawal_minus_M2_fried,PASS,4134.0,86.0,4048.0,delta_c_statistic,-0.0006220121409357127,-0.005460052335913843,0.00418004856314727,500.0
hrs,incident_stroke,head_to_head_cv_binary_flag,15075,9366,292,14783,22,22,6692,151,6541,864,32,832,,,,,,,M3b_fried_any_withdrawal_minus_M2_fried,PASS,4134.0,86.0,4048.0,delta_brier_score,-8.739903951410916e-06,-2.2380666877013388e-05,5.316295632820221e-06,500.0
hrs,incident_heart_disease,head_to_head_cv,11802,7552,599,11203,23,23,5115,287,4828,607,48,559,2913.0,163.0,2750.0,303.0,15.0,288.0,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
hrs,incident_heart_disease,head_to_head_cv,11802,7552,599,11203,23,23,5115,287,4828,607,48,559,2913.0,163.0,2750.0,303.0,15.0,288.0,M1_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
hrs,incident_heart_disease,head_to_head_cv,11802,7552,599,11203,23,23,5115,287,4828,607,48,559,2913.0,163.0,2750.0,303.0,15.0,288.0,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
hrs,incident_heart_disease,head_to_head_cv,11802,7552,599,11203,23,23,5115,287,4828,607,48,559,2913.0,163.0,2750.0,303.0,15.0,288.0,M3_fried_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
hrs,incident_heart_disease,head_to_head_cv_binary_flag,11802,7552,599,11203,22,22,5115,287,4828,607,48,559,,,,,,,M0_routine,PASS,3216.0,178.0,3038.0,c_statistic,0.6046169960735237,0.5826120076083241,0.6278084591071739,500.0
hrs,incident_heart_disease,head_to_head_cv_binary_flag,11802,7552,599,11203,22,22,5115,287,4828,607,48,559,,,,,,,M0_routine,PASS,3216.0,178.0,3038.0,brier_score,0.047939762234276,0.04459632288513398,0.051852623858504615,500.0
hrs,incident_heart_disease,head_to_head_cv_binary_flag,11802,7552,599,11203,22,22,5115,287,4828,607,48,559,,,,,,,M1b_any_withdrawal,PASS,3216.0,178.0,3038.0,c_statistic,0.6028491950865177,0.5798746024164043,0.625875492693793,500.0
hrs,incident_heart_disease,head_to_head_cv_binary_flag,11802,7552,599,11203,22,22,5115,287,4828,607,48,559,,,,,,,M1b_any_withdrawal,PASS,3216.0,178.0,3038.0,brier_score,0.04795104127448484,0.0446065139819415,0.05185240036686929,500.0
hrs,incident_heart_disease,head_to_head_cv_binary_flag,11802,7552,599,11203,22,22,5115,287,4828,607,48,559,,,,,,,M2_fried,PASS,3216.0,178.0,3038.0,c_statistic,0.6050366308690568,0.5819446840799796,0.628442676023645,500.0
hrs,incident_heart_disease,head_to_head_cv_binary_flag,11802,7552,599,11203,22,22,5115,287,4828,607,48,559,,,,,,,M2_fried,PASS,3216.0,178.0,3038.0,brier_score,0.04793313703512251,0.04458398429821328,0.05186684662663309,500.0
hrs,incident_heart_disease,head_to_head_cv_binary_flag,11802,7552,599,11203,22,22,5115,287,4828,607,48,559,,,,,,,M3b_fried_any_withdrawal,PASS,3216.0,178.0,3038.0,c_statistic,0.6033256057545998,0.5806695326384352,0.6261017579084379,500.0
hrs,incident_heart_disease,head_to_head_cv_binary_flag,11802,7552,599,11203,22,22,5115,287,4828,607,48,559,,,,,,,M3b_fried_any_withdrawal,PASS,3216.0,178.0,3038.0,brier_score,0.0479449427166561,0.04459513567728525,0.05186787221902268,500.0
hrs,incident_heart_disease,head_to_head_cv_binary_flag,11802,7552,599,11203,22,22,5115,287,4828,607,48,559,,,,,,,M1b_any_withdrawal_minus_M0_routine,PASS,3216.0,178.0,3038.0,delta_c_statistic,-0.0017678009870060185,-0.003993894131069306,0.0004166370395248109,500.0
hrs,incident_heart_disease,head_to_head_cv_binary_flag,11802,7552,599,11203,22,22,5115,287,4828,607,48,559,,,,,,,M1b_any_withdrawal_minus_M0_routine,PASS,3216.0,178.0,3038.0,delta_brier_score,1.1279040208839186e-05,-9.76584490050801e-06,3.048861115215669e-05,500.0
hrs,incident_heart_disease,head_to_head_cv_binary_flag,11802,7552,599,11203,22,22,5115,287,4828,607,48,559,,,,,,,M2_fried_minus_M0_routine,PASS,3216.0,178.0,3038.0,delta_c_statistic,0.0004196347955330859,-0.003788684059480066,0.0044556767955876405,500.0
hrs,incident_heart_disease,head_to_head_cv_binary_flag,11802,7552,599,11203,22,22,5115,287,4828,607,48,559,,,,,,,M2_fried_minus_M0_routine,PASS,3216.0,178.0,3038.0,delta_brier_score,-6.625199153488526e-06,-4.535827541266666e-05,3.918927056303419e-05,500.0
hrs,incident_heart_disease,head_to_head_cv_binary_flag,11802,7552,599,11203,22,22,5115,287,4828,607,48,559,,,,,,,M3b_fried_any_withdrawal_minus_M0_routine,PASS,3216.0,178.0,3038.0,delta_c_statistic,-0.0012913903189238907,-0.0058707648098907245,0.0033028447887266488,500.0
hrs,incident_heart_disease,head_to_head_cv_binary_flag,11802,7552,599,11203,22,22,5115,287,4828,607,48,559,,,,,,,M3b_fried_any_withdrawal_minus_M0_routine,PASS,3216.0,178.0,3038.0,delta_brier_score,5.180482380101603e-06,-4.081364935648156e-05,5.3190978811339906e-05,500.0
hrs,incident_heart_disease,head_to_head_cv_binary_flag,11802,7552,599,11203,22,22,5115,287,4828,607,48,559,,,,,,,M3b_fried_any_withdrawal_minus_M2_fried,PASS,3216.0,178.0,3038.0,delta_c_statistic,-0.0017110251144569766,-0.0038420015849048917,0.0004861501508751391,500.0
hrs,incident_heart_disease,head_to_head_cv_binary_flag,11802,7552,599,11203,22,22,5115,287,4828,607,48,559,,,,,,,M3b_fried_any_withdrawal_minus_M2_fried,PASS,3216.0,178.0,3038.0,delta_brier_score,1.1805681533590129e-05,-9.336880065263786e-06,3.097027212980406e-05,500.0
hrs,incident_hypertension,head_to_head_cv,6009,3956,593,5416,23,23,2384,267,2117,242,29,213,1358.0,150.0,1208.0,124.0,11.0,113.0,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
hrs,incident_hypertension,head_to_head_cv,6009,3956,593,5416,23,23,2384,267,2117,242,29,213,1358.0,150.0,1208.0,124.0,11.0,113.0,M1_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
hrs,incident_hypertension,head_to_head_cv,6009,3956,593,5416,23,23,2384,267,2117,242,29,213,1358.0,150.0,1208.0,124.0,11.0,113.0,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
hrs,incident_hypertension,head_to_head_cv,6009,3956,593,5416,23,23,2384,267,2117,242,29,213,1358.0,150.0,1208.0,124.0,11.0,113.0,M3_fried_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
hrs,incident_hypertension,head_to_head_cv_binary_flag,6009,3956,593,5416,22,22,2384,267,2117,242,29,213,,,,,,,M0_routine,PASS,1482.0,161.0,1321.0,c_statistic,0.5694812198445179,0.5452130172361691,0.5940607985665904,500.0
hrs,incident_hypertension,head_to_head_cv_binary_flag,6009,3956,593,5416,22,22,2384,267,2117,242,29,213,,,,,,,M0_routine,PASS,1482.0,161.0,1321.0,brier_score,0.08864665068179238,0.08339648061827308,0.09440823905101438,500.0
hrs,incident_hypertension,head_to_head_cv_binary_flag,6009,3956,593,5416,22,22,2384,267,2117,242,29,213,,,,,,,M1b_any_withdrawal,PASS,1482.0,161.0,1321.0,c_statistic,0.5708256841885015,0.5461877836820382,0.5928657231625775,500.0
hrs,incident_hypertension,head_to_head_cv_binary_flag,6009,3956,593,5416,22,22,2384,267,2117,242,29,213,,,,,,,M1b_any_withdrawal,PASS,1482.0,161.0,1321.0,brier_score,0.08864181212887755,0.08338622435536365,0.09438515951725904,500.0
hrs,incident_hypertension,head_to_head_cv_binary_flag,6009,3956,593,5416,22,22,2384,267,2117,242,29,213,,,,,,,M2_fried,PASS,1482.0,161.0,1321.0,c_statistic,0.569662744326348,0.5466454694093912,0.5934837129456678,500.0
hrs,incident_hypertension,head_to_head_cv_binary_flag,6009,3956,593,5416,22,22,2384,267,2117,242,29,213,,,,,,,M2_fried,PASS,1482.0,161.0,1321.0,brier_score,0.08864275079047565,0.08341423955182645,0.09444178172695021,500.0
