cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,withdrawal_log_rr_attenuation_percent
share,incident_diabetes,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,20552,17926,631,19921,22,22,5143,191,4952,PASS,,context_transition_hospitalization,risk_ratio,0.7753939618435384,0.1142142150134823,0.6198735403807035,0.9699329893870963,0.02593031836001213,-6.777691847058264
share,incident_diabetes,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,20552,17926,631,19921,22,22,5143,191,4952,PASS,,context_bmi_or_weight_loss,risk_ratio,0.8945167685777583,0.17137242681876602,0.6393166455469312,1.251586760395176,0.5153924141064175,-6.777691847058264
share,incident_diabetes,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,20552,17926,631,19921,22,22,5143,191,4952,PASS,,context_incident_non_target_disease,risk_ratio,1.0760782516323844,0.09879735832254928,0.8866401428337672,1.3059914024818833,0.4579920180762599,-6.777691847058264
share,incident_diabetes,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,20552,17926,631,19921,22,22,5143,191,4952,PASS,,context_fi_change,risk_ratio,1.000436877700615,0.030973599010461473,0.9415099560857831,1.0630518984890724,0.9887487953462997,-6.777691847058264
share,incident_stroke,clinical_context,base_same_set_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,32825,23168,731,32094,18,18,8828,243,8585,PASS,,any_withdrawal,risk_ratio,1.0905092281065316,0.14108466069852268,0.8270616130615107,1.4378739839991324,0.5391273355426682,
share,incident_stroke,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,32825,23168,731,32094,19,19,8828,243,8585,PASS,,any_withdrawal,risk_ratio,1.0874725470778583,0.14116822651841257,0.8246234672687512,1.4341048825167466,0.5525011540612881,3.2183469753456664
share,incident_stroke,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,32825,23168,731,32094,19,19,8828,243,8585,PASS,,context_self_rated_health_worsening,risk_ratio,1.270648202172669,0.07753077996344405,1.091518263398324,1.4791752990535576,0.0020053009001078483,3.2183469753456664
share,incident_stroke,clinical_context,base_same_set_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,32835,23176,731,32104,18,18,8827,243,8584,PASS,,any_withdrawal,risk_ratio,1.0895878828405767,0.1410969974750167,0.826342867496346,1.4366938968445324,0.5431284309162925,
share,incident_stroke,clinical_context,plus_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,32835,23176,731,32104,19,19,8827,243,8584,PASS,,any_withdrawal,risk_ratio,1.0924066994550918,0.1407536050427845,0.8290384421627156,1.4394415702862517,0.5300505784062763,-3.0113307207046907
share,incident_stroke,clinical_context,plus_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,32835,23176,731,32104,19,19,8827,243,8584,PASS,,context_transition_hospitalization,risk_ratio,1.3459847184660412,0.0897814175278593,1.1288027220727492,1.6049525988185465,0.0009348405179116281,-3.0113307207046907
share,incident_stroke,clinical_context,base_same_set_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,32448,22972,719,31729,18,18,8674,237,8437,PASS,,any_withdrawal,risk_ratio,1.0964019692086178,0.14293698324686693,0.8285173857623116,1.45090169348528,0.5196549907178762,
share,incident_stroke,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,32448,22972,719,31729,19,19,8674,237,8437,PASS,,any_withdrawal,risk_ratio,1.094521897568173,0.14296984603454507,0.8270434017274165,1.4485070333117454,0.52756650353072,1.8647880421763605
share,incident_stroke,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,32448,22972,719,31729,19,19,8674,237,8437,PASS,,context_bmi_or_weight_loss,risk_ratio,1.138081040900167,0.1368365926633816,0.8703574873132804,1.4881568488078012,0.344535893358473,1.8647880421763605
share,incident_stroke,clinical_context,base_same_set_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,32840,23177,731,32109,18,18,8834,243,8591,PASS,,any_withdrawal,risk_ratio,1.0900714946195604,0.1410857738064917,0.8267278245579797,1.4372999530013864,0.5410124760536765,
share,incident_stroke,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,32840,23177,731,32109,19,19,8834,243,8591,PASS,,any_withdrawal,risk_ratio,1.0905000240770883,0.14110999584398362,0.8270135653791328,1.4379332483705545,0.5392397195592817,-0.4557378028457478
share,incident_stroke,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,32840,23177,731,32109,19,19,8834,243,8591,PASS,,context_incident_non_target_disease,risk_ratio,0.9686866185840525,0.08609199637634538,0.8182794795528759,1.1467399445682551,0.7117279466169038,-0.4557378028457478
share,incident_stroke,clinical_context,base_same_set_fi_change,PASS_BASELINE_FREE_RISK_SET,23207,20255,491,22716,17,17,5967,163,5804,PASS,,any_withdrawal,risk_ratio,1.08917682061596,0.17453106715171818,0.7736370791685515,1.533414282368738,0.6245313789740574,
share,incident_stroke,clinical_context,plus_fi_change,PASS_BASELINE_FREE_RISK_SET,23207,20255,491,22716,18,18,5967,163,5804,PASS,,any_withdrawal,risk_ratio,1.081660031647713,0.17406484443121095,0.7690003159175469,1.5214407586661887,0.6520157070514844,8.107111551359424
