cohort,scope,adjustment,outcome_id,exposure_model,n,people,parameters,matrix_rank,events,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,outcome_coding_status,scenario,model_status,standardized_risk,standard_error,ci_low,ci_high,observed_n,observed_events,observed_risk,warnings,risk_difference_vs_0,risk_difference_standard_error,risk_difference_ci_low,risk_difference_ci_high
klosa,comparable_22_30_months,full,mortality,score_categorical,17193,5827,17,17,611,5018,277,4741,400,32,368,PASS_SOURCE_STATUS,withdrawal_0,PASS,0.026980385848938904,0.0015115237813896592,0.024017853675639377,0.029942918022238432,11775.0,302.0,0.02564755838641189,,,,,
klosa,comparable_22_30_months,full,mortality,score_categorical,17193,5827,17,17,611,5018,277,4741,400,32,368,PASS_SOURCE_STATUS,withdrawal_1,PASS,0.04940476799219512,0.002902144681768944,0.043716668938003536,0.055092867046386704,5018.0,277.0,0.055201275408529295,,0.022424382143256216,0.003309481868720414,0.01593791687307589,0.028910847413436542
klosa,comparable_22_30_months,full,mortality,score_categorical,17193,5827,17,17,611,5018,277,4741,400,32,368,PASS_SOURCE_STATUS,withdrawal_2plus,PASS,0.0933575047314902,0.01601869855012599,0.06196143249403927,0.12475357696894113,400.0,32.0,0.08,,0.0663771188825513,0.016167645873661318,0.034689115255377496,0.0980651225097251
klosa,comparable_22_30_months,full,incident_any_adl,score_categorical,16129,5498,17,17,348,4517,138,4379,334,13,321,PASS_STRICT_COMPLETE_ITEM_COUNTS,__model__,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,,,,
klosa,comparable_22_30_months,full,incident_any_iadl,score_categorical,15177,5334,17,17,857,4194,297,3897,301,18,283,PASS_STRICT_COMPLETE_ITEM_COUNTS,__model__,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,,,,
klosa,comparable_22_30_months,full,multimorbidity_progression,score_categorical,16408,5574,17,17,1629,4678,448,4230,362,33,329,PASS_STRICT_COMMON_SIX,withdrawal_0,PASS,0.09944096048233407,0.002817563599870947,0.09391863730243599,0.10496328366223215,11368.0,1148.0,0.10098522167487685,,,,,
klosa,comparable_22_30_months,full,multimorbidity_progression,score_categorical,16408,5574,17,17,1629,4678,448,4230,362,33,329,PASS_STRICT_COMMON_SIX,withdrawal_1,PASS,0.09918606823229303,0.004488171913852576,0.09038941292471778,0.10798272353986829,4678.0,448.0,0.09576742197520308,,-0.0002548922500410361,0.005362418243059058,-0.010765038876477343,0.010255254376395271
klosa,comparable_22_30_months,full,multimorbidity_progression,score_categorical,16408,5574,17,17,1629,4678,448,4230,362,33,329,PASS_STRICT_COMMON_SIX,withdrawal_2plus,PASS,0.09521504144993799,0.016187996850366995,0.06348715064137085,0.12694293225850511,362.0,33.0,0.09116022099447514,,-0.0042259190323960805,0.016482138133736807,-0.036530316162734444,0.028078478097942283
