cohort,scope,core_intervals,core_people,core_loss_0_n,core_loss_1_n,core_loss_2_n,core_loss_3_n,alcohol_loss_n,activity_loss_n,work_loss_n,extended_intervals,extended_loss_0_n,extended_loss_1_n,extended_loss_2_n,extended_loss_3_n,extended_loss_4_n,work_exit_risk_n,work_exit_retirement_n,work_exit_no_retirement_n
share,comparable_22_30_months,78247,45365,57487,18603,2081,76,8119,9015,5859,65130,42499,18863,3458,294,16,19601,5259,600
share,all_primary_wave_intervals,102094,51087,75234,24081,2677,102,10830,11554,7357,76314,49769,22119,4057,353,16,24933,6576,781
