cohort,scope,core_intervals,core_people,core_loss_0_n,core_loss_1_n,core_loss_2_n,core_loss_3_n,alcohol_loss_n,activity_loss_n,work_loss_n,extended_intervals,extended_loss_0_n,extended_loss_1_n,extended_loss_2_n,extended_loss_3_n,extended_loss_4_n
klosa,comparable_22_30_months,17751,5983,12143,5197,394,17,946,3154,1936,20785,12472,7082,1163,65,3
klosa,all_primary_wave_intervals,17751,5983,12143,5197,394,17,946,3154,1936,20785,12472,7082,1163,65,3
