cohort,scope,core_intervals,core_people,core_loss_0_n,core_loss_1_n,core_loss_2_n,core_loss_3_n,alcohol_loss_n,activity_loss_n,work_loss_n,extended_intervals,extended_loss_0_n,extended_loss_1_n,extended_loss_2_n,extended_loss_3_n,extended_loss_4_n,work_exit_risk_n,work_exit_retirement_n,work_exit_no_retirement_n
elsa,comparable_22_30_months,34655,10412,27193,6948,502,12,1353,3951,2684,26864,19245,6747,836,36,0,8998,2352,332
elsa,all_primary_wave_intervals,39620,10835,31115,7926,565,14,1551,4539,3008,31056,22286,7781,943,46,0,10223,2636,372
