cohort,scope,core_intervals,core_people,core_loss_0_n,core_loss_1_n,core_loss_2_n,core_loss_3_n,alcohol_loss_n,activity_loss_n,work_loss_n,extended_intervals,extended_loss_0_n,extended_loss_1_n,extended_loss_2_n,extended_loss_3_n,extended_loss_4_n,work_exit_risk_n,work_exit_retirement_n,work_exit_no_retirement_n
hrs,comparable_22_30_months,73329,21352,50977,20083,2154,115,6222,11927,6587,21,12,9,0,0,0,26285,5236,1338
hrs,all_primary_wave_intervals,83945,21593,57878,23375,2553,139,7116,14096,7686,35,18,13,4,0,0,30042,6093,1580
