cohort,scope,core_intervals,core_people,core_loss_0_n,core_loss_1_n,core_loss_2_n,core_loss_3_n,alcohol_loss_n,activity_loss_n,work_loss_n
charls,comparable_22_30_months,1812,1812,1049,612,131,20,176,469,289
charls,all_primary_wave_intervals,2964,2204,1715,1004,220,25,275,765,479
