cohort,group,variable,summary_type,mean,sd,count,denominator,percent
klosa,withdrawal_2_plus,education_rank,mean_sd,0.542857219790809,0.2518185695724606,,411,
klosa,withdrawal_2_plus,economic_rank,mean_sd,0.5667533336520041,0.2682197174484209,,410,
klosa,withdrawal_2_plus,current_smoking,count_percent,,,42.0,411,10.218978102189782
klosa,withdrawal_2_plus,baseline_disease_count,mean_sd,1.3503649635036497,1.0971664671874863,,411,
klosa,withdrawal_2_plus,current_drinking,count_percent,,,57.0,411,13.86861313868613
klosa,withdrawal_2_plus,current_regular_activity,count_percent,,,46.0,411,11.19221411192214
klosa,withdrawal_2_plus,current_paid_work,count_percent,,,25.0,411,6.082725060827251
klosa,withdrawal_2_plus,alcohol_withdrawal,count_percent,,,270.0,411,65.69343065693431
klosa,withdrawal_2_plus,activity_withdrawal,count_percent,,,287.0,411,69.82968369829683
klosa,withdrawal_2_plus,paid_work_withdrawal,count_percent,,,282.0,411,68.61313868613139
klosa,withdrawal_2_plus,baseline_diabetes,count_percent,,,98.0,411,23.844282238442823
klosa,withdrawal_2_plus,baseline_stroke,count_percent,,,55.0,411,13.38199513381995
klosa,withdrawal_2_plus,baseline_heart_disease,count_percent,,,45.0,411,10.94890510948905
klosa,withdrawal_2_plus,baseline_hypertension,count_percent,,,203.0,411,49.39172749391727
klosa,withdrawal_2_plus,baseline_cancer,count_percent,,,63.0,411,15.328467153284672
klosa,withdrawal_2_plus,baseline_arthritis,count_percent,,,91.0,411,22.14111922141119
mhas,all,age_years,mean_sd,,,,0,
mhas,all,female,count_percent,,,0.0,0,
mhas,all,education_rank,mean_sd,,,,0,
mhas,all,economic_rank,mean_sd,,,,0,
mhas,all,current_smoking,count_percent,,,0.0,0,
mhas,all,baseline_disease_count,mean_sd,,,,0,
mhas,all,current_drinking,count_percent,,,0.0,0,
mhas,all,current_regular_activity,count_percent,,,0.0,0,
mhas,all,current_paid_work,count_percent,,,0.0,0,
mhas,all,alcohol_withdrawal,count_percent,,,0.0,0,
mhas,all,activity_withdrawal,count_percent,,,0.0,0,
mhas,all,paid_work_withdrawal,count_percent,,,0.0,0,
mhas,all,baseline_diabetes,count_percent,,,0.0,0,
mhas,all,baseline_stroke,count_percent,,,0.0,0,
mhas,all,baseline_heart_disease,count_percent,,,0.0,0,
mhas,all,baseline_hypertension,count_percent,,,0.0,0,
mhas,all,baseline_cancer,count_percent,,,0.0,0,
mhas,all,baseline_arthritis,count_percent,,,0.0,0,
mhas,withdrawal_0,age_years,mean_sd,,,,0,
mhas,withdrawal_0,female,count_percent,,,0.0,0,
mhas,withdrawal_0,education_rank,mean_sd,,,,0,
mhas,withdrawal_0,economic_rank,mean_sd,,,,0,
mhas,withdrawal_0,current_smoking,count_percent,,,0.0,0,
mhas,withdrawal_0,baseline_disease_count,mean_sd,,,,0,
mhas,withdrawal_0,current_drinking,count_percent,,,0.0,0,
mhas,withdrawal_0,current_regular_activity,count_percent,,,0.0,0,
mhas,withdrawal_0,current_paid_work,count_percent,,,0.0,0,
mhas,withdrawal_0,alcohol_withdrawal,count_percent,,,0.0,0,
mhas,withdrawal_0,activity_withdrawal,count_percent,,,0.0,0,
mhas,withdrawal_0,paid_work_withdrawal,count_percent,,,0.0,0,
mhas,withdrawal_0,baseline_diabetes,count_percent,,,0.0,0,
mhas,withdrawal_0,baseline_stroke,count_percent,,,0.0,0,
