outcome_id,domain,model_id,term,k_cohorts,cohorts,cohort_estimates,n_total,not_evaluable,pooled_estimate,ci_low,ci_high,prediction_low,prediction_high,i2,tau2
incident_any_adl,activity,four_state_never_had_reference,activity_continued,4,elsa;hrs;klosa;share,elsa:0.4557;hrs:0.5719;klosa:0.5255;share:0.4455,125497,,0.5006451186122179,0.408498123322737,0.6135781793842352,0.2889555818378114,0.8674189063803143,68.32362199961256,0.012232432119124996
incident_any_adl,activity,four_state_never_had_reference,activity_started,4,elsa;hrs;klosa;share,elsa:0.7548;hrs:0.7905;klosa:0.7732;share:0.7235,125497,,0.7711465989534426,0.7285993723512074,0.8161784097596144,0.7141883407033652,0.8326474169149926,0.0,4.2300630066830894e-13
incident_any_adl,activity,four_state_never_had_reference,activity_stopped,4,elsa;hrs;klosa;share,elsa:0.7763;hrs:0.9385;klosa:0.7393;share:0.7952,125497,,0.8368259884554154,0.7028738390370166,0.9963064437194157,0.539287538692576,1.2985238573324063,48.84042910931271,0.0074231209696922675
incident_any_adl,activity,restricted_stopped_vs_continued,activity_loss,3,elsa;hrs;share,elsa:1.6726;hrs:1.6319;share:1.7707,96383,,1.6751145412229569,1.5092593282404974,1.8591958808615463,1.1933821603132106,2.3513077533186375,0.0,0.0001249973317525311
incident_any_adl,alcohol,four_state_never_had_reference,alcohol_continued,3,elsa;hrs;share,elsa:1.0211;hrs:1.0572;share:1.2568,109368,,1.1056206724986004,0.8476440900851542,1.4421112419169413,0.29415661756670813,4.1555994271624535,63.6605229646049,0.007045256530565965
incident_any_adl,alcohol,four_state_never_had_reference,alcohol_started,3,elsa;hrs;share,elsa:0.8576;hrs:1.0644;share:0.8696,109368,,0.9509534626004876,0.6955173606604997,1.3002011727975769,0.18771604588949517,4.817449055815976,59.6409540582878,0.011020829413613419
incident_any_adl,alcohol,four_state_never_had_reference,alcohol_stopped,3,elsa;hrs;share,elsa:1.2820;hrs:1.3664;share:1.3786,109368,,1.358365867633936,1.268276369428138,1.4548546947893324,1.1091892502674634,1.6635193948264155,0.0,4.2300630066830894e-13
incident_any_adl,alcohol,restricted_stopped_vs_continued,alcohol_loss,3,elsa;hrs;share,elsa:1.2486;hrs:1.3082;share:1.1030,72985,,1.2224863955023197,0.974618744439603,1.5333924118682556,0.39471147835975245,3.7862415184849127,56.84206696475825,0.005142367760428714
incident_any_adl,work,four_state_never_had_reference,work_continued,3,elsa;hrs;share,elsa:1.1815;hrs:0.8250;share:0.7076,109368,,0.8830622836659696,0.4634159899092611,1.6827192281087355,0.0234747593907917,33.21861510279184,88.27006118001914,0.059047158561019206
incident_any_adl,work,four_state_never_had_reference,work_started,3,elsa;hrs;share,elsa:0.6801;hrs:0.9098;share:0.7551,109368,,0.8269702522352977,0.5833018340632484,1.1724286778223256,0.1991899108509129,3.4333054076919267,13.343735611219143,0.0059696293052197875
incident_any_adl,work,four_state_never_had_reference,work_stopped,3,elsa;hrs;share,elsa:1.4117;hrs:1.0496;share:0.8765,109368,,1.0917548260485743,0.6086390910761931,1.9583503880646078,0.0443639451594757,26.867056027495096,82.43340949276129,0.04510701639815904
incident_any_adl,work,restricted_stopped_vs_continued,work_loss,3,elsa;hrs;share,elsa:1.1402;hrs:1.2043;share:1.1714,37022,,1.1850464943151742,1.1062062561872712,1.269505741658852,0.9670290990192857,1.4522160657966683,0.0,4.2300630066830894e-13
incident_any_iadl,activity,four_state_never_had_reference,activity_continued,4,elsa;hrs;klosa;share,elsa:0.3455;hrs:0.5406;klosa:0.7441;share:0.4570,124777,,0.5022011843348072,0.30326272448044866,0.8316420357278124,0.11649760178321482,2.1649031884501957,90.19539828202748,0.09019953677127543
incident_any_iadl,activity,four_state_never_had_reference,activity_started,4,elsa;hrs;klosa;share,elsa:0.5174;hrs:0.7022;klosa:0.8840;share:0.4571,124777,,0.6223151596140091,0.3914828308532823,0.9892545147926316,0.1708410183379017,2.266880411116649,83.93079817796185,0.06905533512966697
incident_any_iadl,activity,four_state_never_had_reference,activity_stopped,4,elsa;hrs;klosa;share,elsa:0.7454;hrs:0.8947;klosa:0.9968;share:0.8323,124777,,0.8674601727286526,0.7383534903909087,1.0191421332240636,0.6690085403755796,1.1247795892829404,27.203885819686878,0.0010811217178792584
incident_any_iadl,activity,restricted_stopped_vs_continued,activity_loss,4,elsa;hrs;klosa;share,elsa:2.0656;hrs:1.6453;klosa:1.3961;share:1.8136,103946,,1.7244333293032845,1.3451076840102345,2.210730295099098,0.8884328485314085,3.347096307984928,77.24203016196758,0.017664485680361428
incident_any_iadl,alcohol,four_state_never_had_reference,alcohol_continued,3,elsa;hrs;share,elsa:1.2700;hrs:1.1060;share:1.0871,109600,,1.1201565146799777,0.9691474998262286,1.2946952013031823,0.7304005784856765,1.7178937891607944,0.0,4.2300630066830894e-13
incident_any_iadl,alcohol,four_state_never_had_reference,alcohol_started,3,elsa;hrs;share,elsa:0.9446;hrs:1.0197;share:0.7941,109600,,0.9116321942121518,0.6398775130736286,1.298800536890306,0.13718016959354892,6.058260898688559,59.66737964617133,0.015450206570383304
incident_any_iadl,alcohol,four_state_never_had_reference,alcohol_stopped,3,elsa;hrs;share,elsa:1.8766;hrs:1.3730;share:1.2162,109600,,1.4355176494245097,0.8452180744459014,2.4380819389838626,0.08699020384895367,23.688999802637607,76.01894021531423,0.03352629994007797
incident_any_iadl,alcohol,restricted_stopped_vs_continued,alcohol_loss,4,elsa;hrs;klosa;share,elsa:1.4591;hrs:1.2245;klosa:1.3194;share:1.0948,81105,,1.247229184390098,1.0280446816545319,1.5131449694295798,0.7803027307238305,1.9935604184691103,52.9609737743554,0.008193461930368257
incident_any_iadl,work,four_state_never_had_reference,work_continued,3,hrs;klosa;share,hrs:0.7236;klosa:0.7602;share:0.3604,99244,,0.590791642661848,0.21285165027462083,1.6398029547281439,0.0017850826239715724,195.52863287780409,90.4863560188345,0.15221382411163484
incident_any_iadl,work,four_state_never_had_reference,work_started,3,hrs;klosa;share,hrs:0.7521;klosa:0.9656;share:0.5968,99244,,0.7457223793764828,0.47928744791095995,1.1602679551212307,0.20213238477906348,2.7511765010379627,29.07971138707491,5.413584347415289e-13
incident_any_iadl,work,four_state_never_had_reference,work_stopped,3,hrs;klosa;share,hrs:0.9686;klosa:1.0130;share:0.7483,99244,,0.9210902303104626,0.6403833221173552,1.3248427669356195,0.19237096012168925,4.41026655913501,45.885781788305756,0.008055373787776095
incident_any_iadl,work,restricted_stopped_vs_continued,work_loss,2,hrs;klosa,hrs:1.2632;klosa:1.3472,28906,,,,,,,,
mortality,activity,four_state_never_had_reference,activity_continued,4,elsa;hrs;klosa;share,elsa:0.3509;hrs:0.4149;klosa:0.4521;share:0.3850,162582,,0.40912166800511274,0.3717446279112352,0.45025678023046684,0.35941728107213755,0.46569975359000965,0.0,4.2300630066830894e-13
