cohort,outcome_id,context_id,model_id,state_adjustment,term,log_rr_attenuation_percent,n,events,estimate,ci_low,ci_high
elsa,multimorbidity_progression,self_rated_health_worsening,base_same_set_self_rated_health_worsening,current_state_held,loss_1,99.3652024506908,21196,2777,1.0009709902009207,0.858451004463748,1.167152135665214
elsa,multimorbidity_progression,self_rated_health_worsening,base_same_set_self_rated_health_worsening,current_state_held,loss_2plus,93.44849109826924,21196,2777,1.0214494424762457,0.7078473572886215,1.4739886400530955
elsa,multimorbidity_progression,self_rated_health_worsening,plus_self_rated_health_worsening,unconditional,loss_1,3.374520546035205,21196,2777,1.1591966396063471,1.0609628410290826,1.266525836071024
elsa,multimorbidity_progression,self_rated_health_worsening,plus_self_rated_health_worsening,unconditional,loss_2plus,3.795845361890973,21196,2777,1.3656617083561189,1.04878612443693,1.778276674542626
elsa,multimorbidity_progression,cesd_worsening,base_same_set_cesd_worsening,current_state_held,loss_1,121.09726148030254,27337,3629,0.9732338916714064,0.851883470676032,1.1118706260918654
elsa,multimorbidity_progression,cesd_worsening,base_same_set_cesd_worsening,current_state_held,loss_2plus,80.59270515797931,27337,3629,1.0759548715181757,0.7824150273838739,1.479622508548402
elsa,multimorbidity_progression,cesd_worsening,plus_cesd_worsening,unconditional,loss_1,-0.1482488590625832,27337,3629,1.1374507049039342,1.0523382939806845,1.2294469501745642
elsa,multimorbidity_progression,cesd_worsening,plus_cesd_worsening,unconditional,loss_2plus,-0.1078711487805546,27337,3629,1.4588209981826823,1.1617828367868137,1.8318042213677788
elsa,multimorbidity_progression,bmi_or_weight_loss,base_same_set_bmi_or_weight_loss,current_state_held,loss_1,373.3277691719775,14060,1905,0.8100904782019647,0.6692401276850702,0.9805846298300616
elsa,multimorbidity_progression,bmi_or_weight_loss,base_same_set_bmi_or_weight_loss,current_state_held,loss_2plus,143.5174647497318,14060,1905,0.8396189925162667,0.5432168883460362,1.2977506180642937
elsa,multimorbidity_progression,bmi_or_weight_loss,plus_bmi_or_weight_loss,unconditional,loss_1,1.556735211317491,14060,1905,1.0788053177556172,0.9664838998230731,1.2041803426118634
elsa,multimorbidity_progression,bmi_or_weight_loss,plus_bmi_or_weight_loss,unconditional,loss_2plus,0.3825781177648811,14060,1905,1.4920593280446843,1.10594350080631,2.012978996469594
elsa,multimorbidity_progression,joint_context_no_fi,base_same_set_joint_context_no_fi,current_state_held,loss_1,211.19045740236749,11142,1500,0.8524913710995115,0.6867770783392306,1.0581913123200568
elsa,multimorbidity_progression,joint_context_no_fi,base_same_set_joint_context_no_fi,current_state_held,loss_2plus,177.09852715089954,11142,1500,0.7675771084506637,0.4632265974159014,1.2718928936813618
elsa,multimorbidity_progression,joint_context_no_fi,plus_joint_context_no_fi,unconditional,loss_1,8.298310321420633,11142,1500,1.1406746331675652,1.0102801803550778,1.2878987869430985
elsa,multimorbidity_progression,joint_context_no_fi,plus_joint_context_no_fi,unconditional,loss_2plus,4.299213251400714,11142,1500,1.3886590772218743,0.9714726610235358,1.9850008241292028
hrs,mortality,self_rated_health_worsening,base_same_set_self_rated_health_worsening,current_state_held,loss_1,68.00334529061342,72681,4534,1.1886122752404955,1.0691863402480708,1.3213778437578918
hrs,mortality,self_rated_health_worsening,base_same_set_self_rated_health_worsening,current_state_held,loss_2plus,52.58643980686486,72681,4534,1.7721712042356583,1.437002596185067,2.185515033486827
hrs,mortality,self_rated_health_worsening,plus_self_rated_health_worsening,unconditional,loss_1,3.701891308565846,72681,4534,1.6820670742833177,1.588714505189058,1.780905022989858
hrs,mortality,self_rated_health_worsening,plus_self_rated_health_worsening,unconditional,loss_2plus,3.8786158275309464,72681,4534,3.1900309260541606,2.8232800844311203,3.604423579969555
hrs,mortality,transition_hospitalization,base_same_set_transition_hospitalization,current_state_held,loss_1,69.1777185230555,72583,4527,1.1807408051904846,1.0617239881670708,1.3130991336540223
hrs,mortality,transition_hospitalization,base_same_set_transition_hospitalization,current_state_held,loss_2plus,53.704355205603626,72583,4527,1.7475109986977444,1.4161863961064047,2.1563508158004803
hrs,mortality,transition_hospitalization,plus_transition_hospitalization,unconditional,loss_1,8.385137582133552,72583,4527,1.638585991379049,1.5481521916710672,1.7343023932585884
hrs,mortality,transition_hospitalization,plus_transition_hospitalization,unconditional,loss_2plus,8.31381411053779,72583,4527,3.0206499621592746,2.675317012113105,3.4105588805290625
hrs,mortality,cesd_worsening,base_same_set_cesd_worsening,current_state_held,loss_1,74.63346830744577,68900,3759,1.1246144378211425,1.0019299543138696,1.2623214111029164
hrs,mortality,cesd_worsening,base_same_set_cesd_worsening,current_state_held,loss_2plus,52.43699156602942,68900,3759,1.707191054962781,1.3566413434073754,2.148321155261858
hrs,mortality,cesd_worsening,plus_cesd_worsening,unconditional,loss_1,3.1603583368444563,68900,3759,1.5657135016106545,1.468776984158302,1.6690476468289237
hrs,mortality,cesd_worsening,plus_cesd_worsening,unconditional,loss_2plus,3.3856085575878736,68900,3759,2.9636914424380216,2.5812990631035526,3.4027312416174698
hrs,mortality,bmi_or_weight_loss,base_same_set_bmi_or_weight_loss,current_state_held,loss_1,83.4923038531783,25662,1229,1.077105376062409,0.8785708972715947,1.3205035526961026
hrs,mortality,bmi_or_weight_loss,base_same_set_bmi_or_weight_loss,current_state_held,loss_2plus,65.63847926693983,25662,1229,1.4131589664388453,0.9358925357776928,2.133811509424056
hrs,mortality,bmi_or_weight_loss,plus_bmi_or_weight_loss,unconditional,loss_1,6.271534938854738,25662,1229,1.5246061177653996,1.3621874166195258,1.7063906081999296
hrs,mortality,bmi_or_weight_loss,plus_bmi_or_weight_loss,unconditional,loss_2plus,5.242399169510646,25662,1229,2.595234942201192,2.034266577969627,3.3108956702933083
hrs,mortality,incident_non_target_disease,base_same_set_incident_non_target_disease,current_state_held,loss_1,67.57639833272584,72785,4554,1.191729329043516,1.0722882768724444,1.324474793145065
hrs,mortality,incident_non_target_disease,base_same_set_incident_non_target_disease,current_state_held,loss_2plus,52.137229974409216,72785,4554,1.7846370938462923,1.4482960933046474,2.1990873078066047
hrs,mortality,incident_non_target_disease,plus_incident_non_target_disease,unconditional,loss_1,1.3614951894479828,72785,4554,1.7050857513578783,1.6108509171898908,1.8048333265721697
hrs,mortality,incident_non_target_disease,plus_incident_non_target_disease,unconditional,loss_2plus,1.2743315230753705,72785,4554,3.302687273227641,2.923494476067819,3.73106339486266
hrs,mortality,fi_change,base_same_set_fi_change,current_state_held,loss_1,74.23755668691848,50822,2784,1.1350787334245656,0.9924688450339436,1.2981805298166824
hrs,mortality,fi_change,base_same_set_fi_change,current_state_held,loss_2plus,53.82383760876716,50822,2784,1.7121261350872417,1.313424748238302,2.2318567594988847
hrs,mortality,fi_change,plus_fi_change,unconditional,loss_1,12.299974941789706,50822,2784,1.5392828470660096,1.4288003976928394,1.6583083873000204
hrs,mortality,fi_change,plus_fi_change,unconditional,loss_2plus,11.176072796085233,50822,2784,2.8133687344078657,2.4038076660283414,3.292710871839943
hrs,mortality,joint_context,base_same_set_joint_context,current_state_held,loss_1,84.01844278460663,21278,1040,1.0768171891570868,0.8634630762714914,1.3428892221670246
hrs,mortality,joint_context,base_same_set_joint_context,current_state_held,loss_2plus,68.55156652780526,21278,1040,1.3717891614528472,0.8779311084015591,2.143454634960699
hrs,mortality,joint_context,plus_joint_context,unconditional,loss_1,26.54271944466035,21278,1040,1.4051953139214235,1.2414722176776762,1.590509914076376
hrs,mortality,joint_context,plus_joint_context,unconditional,loss_2plus,25.10485578038637,21278,1040,2.123014304214113,1.6348334296161275,2.7569718444992035
hrs,mortality,joint_context_no_fi,base_same_set_joint_context_no_fi,current_state_held,loss_1,94.13748413721872,25252,1187,1.0269366968966336,0.8328096753732049,1.2663145141299823
hrs,mortality,joint_context_no_fi,base_same_set_joint_context_no_fi,current_state_held,loss_2plus,75.45950631308462,25252,1187,1.278705876950489,0.8372773086116769,1.95286400685924
hrs,mortality,joint_context_no_fi,plus_joint_context_no_fi,unconditional,loss_1,20.2548622514282,25252,1187,1.4355665822506372,1.278906646515681,1.6114166094057485
hrs,mortality,joint_context_no_fi,plus_joint_context_no_fi,unconditional,loss_2plus,19.4117084050827,25252,1187,2.241935682233488,1.7500711950120014,2.872040644744894
hrs,incident_any_adl,self_rated_health_worsening,base_same_set_self_rated_health_worsening,current_state_held,loss_1,32.76284338143889,54375,5017,1.2857517264662943,1.1715053855926714,1.4111394812536138
hrs,incident_any_adl,self_rated_health_worsening,base_same_set_self_rated_health_worsening,current_state_held,loss_2plus,23.15200336442044,54375,5017,1.7234621694831966,1.4100915532895706,2.106474464519932
hrs,incident_any_adl,self_rated_health_worsening,plus_self_rated_health_worsening,unconditional,loss_1,1.0589344743568414,54375,5017,1.4475290126912186,1.368660556781158,1.5309422282985017
hrs,incident_any_adl,self_rated_health_worsening,plus_self_rated_health_worsening,unconditional,loss_2plus,0.949985878328692,54375,5017,2.0169733679992174,1.75209390779067,2.3218969880147253
hrs,incident_any_adl,transition_hospitalization,base_same_set_transition_hospitalization,current_state_held,loss_1,33.244105197382254,54310,5007,1.2838777242240151,1.1697189766564065,1.4091777971067494
hrs,incident_any_adl,transition_hospitalization,base_same_set_transition_hospitalization,current_state_held,loss_2plus,23.60634100015869,54310,5007,1.720665744111402,1.4076455092006872,2.1032927563130817
hrs,incident_any_adl,transition_hospitalization,plus_transition_hospitalization,unconditional,loss_1,4.331128039243074,54310,5007,1.4306285469401945,1.3526169949608076,1.513139378660192
hrs,incident_any_adl,transition_hospitalization,plus_transition_hospitalization,unconditional,loss_2plus,6.0378355132684,54310,5007,1.949397607138415,1.6929977437821042,2.2446285263366974
hrs,incident_any_adl,cesd_worsening,base_same_set_cesd_worsening,current_state_held,loss_1,31.423483528379737,52532,4762,1.2895780238742522,1.171328947908867,1.4197646891834594
hrs,incident_any_adl,cesd_worsening,base_same_set_cesd_worsening,current_state_held,loss_2plus,22.733232932550457,52532,4762,1.6987804828913549,1.381096357901516,2.089539308783241
hrs,incident_any_adl,cesd_worsening,plus_cesd_worsening,unconditional,loss_1,3.6133766145212407,52532,4762,1.4296768559324555,1.349342276305149,1.5147942433004105
hrs,incident_any_adl,cesd_worsening,plus_cesd_worsening,unconditional,loss_2plus,3.824431189542605,52532,4762,1.9340009699726233,1.6712240202348234,2.2380959743083935
hrs,incident_any_adl,bmi_or_weight_loss,base_same_set_bmi_or_weight_loss,current_state_held,loss_1,35.88186518261708,20433,1737,1.2305908687641358,1.04726190922505,1.446012571397978
hrs,incident_any_adl,bmi_or_weight_loss,base_same_set_bmi_or_weight_loss,current_state_held,loss_2plus,18.458645605476608,20433,1737,1.828528479741939,1.3096559440729405,2.552973104393555
hrs,incident_any_adl,bmi_or_weight_loss,plus_bmi_or_weight_loss,unconditional,loss_1,1.2575903421179937,20433,1737,1.376498547058468,1.250274597999746,1.515465684966638
hrs,incident_any_adl,bmi_or_weight_loss,plus_bmi_or_weight_loss,unconditional,loss_2plus,0.5334005898763863,20433,1737,2.0879475326405794,1.6678642395834882,2.6138367833514904
