outcome_id,exposure_model,model_id,state_adjustment,term,k_cohorts,cohorts,cohort_estimates,n_total,not_evaluable,pooled_estimate,ci_low,ci_high,prediction_low,prediction_high,i2,tau2,entered_through_death_total
incident_any_iadl,graded,death_or_outcome,unconditional,loss_1,4,elsa;hrs;klosa;share,elsa:1.7025;hrs:1.4548;klosa:1.3659;share:1.4975,129193,,1.4985314369950393,1.3050069419439612,1.7207544232043224,1.0494461713787033,2.1397919482733254,70.28258367043128,0.004966529605911864,4440
incident_any_iadl,graded,death_or_outcome,unconditional,loss_2plus,4,elsa;hrs;klosa;share,elsa:2.7461;hrs:2.2018;klosa:1.7297;share:2.5927,129193,,2.3293229693380946,1.7715274850435263,3.0627498253873986,1.2689886888370214,4.275645278177004,57.89172020426565,0.012527373926526541,4440
incident_any_iadl,graded,survivors,current_state_held,loss_1,3,elsa;hrs;share,elsa:1.1683;hrs:1.1506;share:0.7827,109600,,1.0212652381483716,0.5844641281391195,1.7845110357260285,0.04642544107093128,22.465757192413648,84.83748020943028,0.04235191536104974,4440
incident_any_iadl,graded,survivors,current_state_held,loss_2plus,3,elsa;hrs;share,elsa:1.5451;hrs:1.3893;share:0.9293,109600,,1.2524921589836433,0.6612232735682839,2.372476394924574,0.06241363857443854,25.13451617541142,52.350547464965445,0.033670188918055156,4440
incident_any_iadl,graded,survivors,unconditional,loss_1,3,elsa;hrs;share,elsa:1.7117;hrs:1.4519;share:1.4362,109600,,1.5175123607918053,1.199995430112193,1.919043779142238,0.4526915095690976,5.087004541675457,70.23601870314918,0.006085989400376499,4440
incident_any_iadl,graded,survivors,unconditional,loss_2plus,3,elsa;hrs;share,elsa:2.7420;hrs:2.0090;share:2.8047,109600,,2.4467910376108084,1.5094122465695339,3.9663030397022716,0.18983525953627933,31.53674610479012,70.06891567170025,0.027873420901574058,4440
multimorbidity_progression,any,death_or_outcome,current_state_held,any_withdrawal,5,charls;elsa;hrs;klosa;share,charls:0.7652;elsa:0.9580;hrs:1.0593;klosa:1.1508;share:1.0384,150952,,1.0469370726609541,0.9843152499897083,1.1135428757436687,0.9754774352922758,1.123631561793613,27.554315282011228,3.4737029522275124e-13,7625
multimorbidity_progression,any,death_or_outcome,unconditional,any_withdrawal,5,charls;elsa;hrs;klosa;share,charls:1.1154;elsa:1.2218;hrs:1.2882;klosa:1.1858;share:1.2464,150952,,1.2489076887561943,1.1974201362878047,1.3026091409067821,1.1470342196930572,1.3598290166545588,32.20791718109267,0.000484952431156707,7625
multimorbidity_progression,any,survivors,current_state_held,any_withdrawal,4,elsa;hrs;klosa;share,elsa:0.9655;hrs:1.0643;klosa:1.1572;share:1.0173,142183,,1.0428453568568767,0.9617669924792969,1.1307587459561903,0.9347537472744939,1.1634362969807814,19.581808207797458,4.2300630066830894e-13,7625
multimorbidity_progression,any,survivors,unconditional,any_withdrawal,5,charls;elsa;hrs;klosa;share,charls:1.0298;elsa:1.1541;hrs:1.1449;klosa:0.9949;share:1.1268,143327,,1.128100727891922,1.0728082312186922,1.1862429978045739,1.0628986988504718,1.1973024839023858,40.58237572317183,2.2334047453718753e-05,7625
multimorbidity_progression,graded,death_or_outcome,current_state_held,loss_1,4,elsa;hrs;klosa;share,elsa:0.9724;hrs:1.0854;klosa:1.1823;share:1.0546,149774,,1.070892195453277,0.9906427916826647,1.1576423953328483,0.9638502137650551,1.1898219016863572,36.14418276465548,4.2300630066830894e-13,7625
multimorbidity_progression,graded,death_or_outcome,current_state_held,loss_2plus,4,elsa;hrs;klosa;share,elsa:1.0948;hrs:1.2730;klosa:1.4574;share:1.1539,149774,,1.2268373235578693,1.0817117397851836,1.391433376486733,1.034822925422994,1.454480550727459,0.0,4.2300630066830894e-13,7625
multimorbidity_progression,graded,death_or_outcome,unconditional,loss_1,4,elsa;hrs;klosa;share,elsa:1.1973;hrs:1.2573;klosa:1.1714;share:1.2221,149774,,1.2286521056285955,1.1765620215038162,1.2830483808546806,1.1265212878686053,1.34004213939156,21.263726107162512,0.0002215176205342081,7625
multimorbidity_progression,graded,death_or_outcome,unconditional,loss_2plus,4,elsa;hrs;klosa;share,elsa:1.6273;hrs:1.6441;klosa:1.4231;share:1.5182,149774,,1.5810736765265738,1.4523659134879132,1.721187441394782,1.3398113090149573,1.8657806168565112,0.0,0.0007690106067463337,7625
multimorbidity_progression,graded,survivors,current_state_held,loss_1,4,elsa;hrs;klosa;share,elsa:0.9752;hrs:1.0772;klosa:1.1675;share:1.0250,142183,,1.0538338274228327,0.970242260771566,1.144627255194493,0.9424241077680992,1.1784139716573678,19.690038035354817,4.2300630066830894e-13,7625
multimorbidity_progression,graded,survivors,current_state_held,loss_2plus,4,elsa;hrs;klosa;share,elsa:1.0700;hrs:1.2041;klosa:1.3172;share:1.0835,142183,,1.1521570642147236,1.0280661751451747,1.2912261221243246,0.987644391052615,1.3440727377645507,0.0,4.2300630066830894e-13,7625
multimorbidity_progression,graded,survivors,unconditional,loss_1,4,elsa;hrs;klosa;share,elsa:1.1367;hrs:1.1300;klosa:0.9974;share:1.1138,142183,,1.1156496010947934,1.0531529474722094,1.1818549579246331,1.0319977770823898,1.2060820866706214,38.530097119565085,4.2300630066830894e-13,7625
multimorbidity_progression,graded,survivors,unconditional,loss_2plus,4,elsa;hrs;klosa;share,elsa:1.4446;hrs:1.3122;klosa:0.9571;share:1.2747,142183,,1.2922457191440642,1.1285348250973635,1.4797053325333493,1.0759870105478588,1.5519694775830977,25.890965063937426,4.2300630066830894e-13,7625
