cohort,outcome_id,analysis_family,context_id,outcome_coding_status,context_fields,model_id,state_adjustment,n,people,events,nonevents,parameters,matrix_rank,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,log_rr_attenuation_percent
hrs,mortality,clinical_context_graded,cesd_worsening,PASS_SOURCE_STATUS,cesd_worsening,base_same_set_cesd_worsening,current_state_held,68900,20241,3759,65141,22,22,18393,1425,16968,2036,220,1816,PASS,,loss_2plus,risk_ratio,1.707191054962781,0.11726609210683668,1.3566413434073754,2.1483211552618586,5.091323649350128e-06,52.43699156602942
hrs,mortality,clinical_context_graded,cesd_worsening,PASS_SOURCE_STATUS,cesd_worsening,plus_cesd_worsening,unconditional,68900,20241,3759,65141,20,20,18393,1425,16968,2036,220,1816,PASS,,loss_1,risk_ratio,1.5657135016106545,0.032608538339474774,1.468776984158302,1.6690476468289235,5.1488888460720605e-43,3.1603583368444563
hrs,mortality,clinical_context_graded,cesd_worsening,PASS_SOURCE_STATUS,cesd_worsening,plus_cesd_worsening,unconditional,68900,20241,3759,65141,20,20,18393,1425,16968,2036,220,1816,PASS,,loss_2plus,risk_ratio,2.9636914424380216,0.07048232330729692,2.5812990631035526,3.4027312416174698,1.3118678925193673e-53,3.3856085575878736
hrs,mortality,clinical_context_graded,cesd_worsening,PASS_SOURCE_STATUS,cesd_worsening,plus_cesd_worsening,unconditional,68900,20241,3759,65141,20,20,18393,1425,16968,2036,220,1816,PASS,,context_cesd_worsening,risk_ratio,1.2734364751766878,0.03142624878518792,1.1973668047247876,1.354338912613464,1.452702638411421e-14,
hrs,mortality,clinical_context_graded,bmi_or_weight_loss,PASS_SOURCE_STATUS,bmi_or_weight_loss,base_same_set_bmi_or_weight_loss,unconditional,25662,15002,1229,24433,18,18,6666,454,6212,746,70,676,PASS,,loss_1,risk_ratio,1.5682419113570214,0.05769158588036289,1.4005734497142213,1.7559826605584634,6.224121706005296e-15,
hrs,mortality,clinical_context_graded,bmi_or_weight_loss,PASS_SOURCE_STATUS,bmi_or_weight_loss,base_same_set_bmi_or_weight_loss,unconditional,25662,15002,1229,24433,18,18,6666,454,6212,746,70,676,PASS,,loss_2plus,risk_ratio,2.7358401588873615,0.12554542773069116,2.1390762133251804,3.499090555238196,1.0877515208449825e-15,
hrs,mortality,clinical_context_graded,bmi_or_weight_loss,PASS_SOURCE_STATUS,bmi_or_weight_loss,base_same_set_bmi_or_weight_loss,current_state_held,25662,15002,1229,24433,21,21,6666,454,6212,746,70,676,PASS,,loss_1,risk_ratio,1.077105376062409,0.10394880170029863,0.8785708972715947,1.3205035526961026,0.47488346707844586,83.4923038531783
hrs,mortality,clinical_context_graded,bmi_or_weight_loss,PASS_SOURCE_STATUS,bmi_or_weight_loss,base_same_set_bmi_or_weight_loss,current_state_held,25662,15002,1229,24433,21,21,6666,454,6212,746,70,676,PASS,,loss_2plus,risk_ratio,1.4131589664388453,0.21024989474895714,0.9358925357776927,2.133811509424056,0.10000265068346792,65.63847926693983
hrs,mortality,clinical_context_graded,bmi_or_weight_loss,PASS_SOURCE_STATUS,bmi_or_weight_loss,plus_bmi_or_weight_loss,unconditional,25662,15002,1229,24433,19,19,6666,454,6212,746,70,676,PASS,,loss_1,risk_ratio,1.5246061177653996,0.05747263312724533,1.3621874166195258,1.7063906081999296,2.1675531634678554e-13,6.271534938854738
hrs,mortality,clinical_context_graded,bmi_or_weight_loss,PASS_SOURCE_STATUS,bmi_or_weight_loss,plus_bmi_or_weight_loss,unconditional,25662,15002,1229,24433,19,19,6666,454,6212,746,70,676,PASS,,loss_2plus,risk_ratio,2.5952349422011918,0.12425825216539395,2.034266577969627,3.3108956702933083,1.6547096367234134e-14,5.242399169510646
