cohort,outcome_id,analysis_family,exposure_model,model_id,state_adjustment,outcome_coding_status,deaths_in_risk_set,entered_through_death,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents
elsa,incident_any_iadl,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,25533,7910,1402,24131,19,19,,,,PASS,,loss_2plus,risk_ratio,2.742009258665779,0.1747133355953013,1.9469403953942725,3.8617590925716403,7.768511693254363e-09,4747.0,373.0,4374.0,329.0,34.0,295.0
elsa,incident_any_iadl,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,25533,7910,1402,24131,22,22,,,,PASS,,loss_1,risk_ratio,1.1682767213135883,0.10066093962280356,0.959097979385229,1.423077231836203,0.12232554282669145,4747.0,373.0,4374.0,329.0,34.0,295.0
elsa,incident_any_iadl,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,25533,7910,1402,24131,22,22,,,,PASS,,loss_2plus,risk_ratio,1.5450849610590247,0.23312458990925325,0.9783997987341823,2.4399918519805017,0.0620003179181776,4747.0,373.0,4374.0,329.0,34.0,295.0
elsa,incident_any_iadl,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,363,363,25896,8071,1765,24131,19,19,,,,PASS,,loss_1,risk_ratio,1.7025332374340805,0.05112203901562356,1.540211779745707,1.8819615994927275,2.2613659148927646e-25,4855.0,481.0,4374.0,341.0,46.0,295.0
elsa,incident_any_iadl,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,363,363,25896,8071,1765,24131,19,19,,,,PASS,,loss_2plus,risk_ratio,2.746136046461225,0.1469569510955224,2.058884884840156,3.6627901060428463,6.238817813925754e-12,4855.0,481.0,4374.0,341.0,46.0,295.0
elsa,incident_any_iadl,competing_composite,graded,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,363,363,25896,8071,1765,24131,22,22,,,,PASS,,loss_1,risk_ratio,1.1866716566662923,0.08902922010723596,0.9966639732050465,1.4129031033465596,0.05455164883995293,4855.0,481.0,4374.0,341.0,46.0,295.0
elsa,incident_any_iadl,competing_composite,graded,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,363,363,25896,8071,1765,24131,22,22,,,,PASS,,loss_2plus,risk_ratio,1.5835998713242239,0.20329795492572428,1.0631582774406076,2.3588101655900373,0.023745864542191696,4855.0,481.0,4374.0,341.0,46.0,295.0
elsa,multimorbidity_progression,competing_composite,any,survivors,unconditional,PASS_STRICT_COMMON_SIX,0,0,27484,8313,3652,23832,18,18,5735.0,815.0,4920.0,PASS,,any_withdrawal,risk_ratio,1.1540974004116555,0.03850434821929785,1.0702062974045063,1.244564541310587,0.0001975415946218951,,,,,,
elsa,multimorbidity_progression,competing_composite,any,survivors,current_state_held,PASS_STRICT_COMMON_SIX,0,0,27484,8313,3652,23832,21,21,5735.0,815.0,4920.0,PASS,,any_withdrawal,risk_ratio,0.965450738572916,0.06610779859801,0.8481234258421008,1.0990088237281181,0.594821848987211,,,,,,
elsa,multimorbidity_progression,competing_composite,any,death_or_outcome,unconditional,PASS_STRICT_COMMON_SIX,509,509,27993,8531,4161,23832,18,18,5917.0,997.0,4920.0,PASS,,any_withdrawal,risk_ratio,1.2217959075307656,0.03451512275461213,1.1418770394085371,1.3073082198343802,6.47954075204348e-09,,,,,,
elsa,multimorbidity_progression,competing_composite,any,death_or_outcome,current_state_held,PASS_STRICT_COMMON_SIX,509,509,27993,8531,4161,23832,21,21,5917.0,997.0,4920.0,PASS,,any_withdrawal,risk_ratio,0.9579714952368251,0.06071772228970433,0.8504906975634471,1.0790351832364597,0.47946591286742335,,,,,,
elsa,multimorbidity_progression,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMMON_SIX,0,0,27484,8313,3652,23832,19,19,,,,PASS,,loss_1,risk_ratio,1.1366526137660313,0.03959811498091814,1.0517724199608394,1.2283828134885444,0.0012177473059181948,5346.0,750.0,4596.0,389.0,65.0,324.0
elsa,multimorbidity_progression,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMMON_SIX,0,0,27484,8313,3652,23832,19,19,,,,PASS,,loss_2plus,risk_ratio,1.4445596194773904,0.11621297018894025,1.1503097769947965,1.8140787255380362,0.0015512669801707672,5346.0,750.0,4596.0,389.0,65.0,324.0
elsa,multimorbidity_progression,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMMON_SIX,0,0,27484,8313,3652,23832,22,22,,,,PASS,,loss_1,risk_ratio,0.9751831670833561,0.06759614517614145,0.854177747169091,1.113330583142048,0.7100669321118265,5346.0,750.0,4596.0,389.0,65.0,324.0
elsa,multimorbidity_progression,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMMON_SIX,0,0,27484,8313,3652,23832,22,22,,,,PASS,,loss_2plus,risk_ratio,1.0700278362744369,0.16205054977907357,0.7788564086477919,1.4700521915072504,0.6761838508140415,5346.0,750.0,4596.0,389.0,65.0,324.0
elsa,multimorbidity_progression,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMMON_SIX,509,509,27993,8531,4161,23832,19,19,,,,PASS,,loss_1,risk_ratio,1.1973104331665334,0.035577349352116,1.1166659464727644,1.283778983229159,4.1578788142295996e-07,5507.0,911.0,4596.0,410.0,86.0,324.0
elsa,multimorbidity_progression,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMMON_SIX,509,509,27993,8531,4161,23832,19,19,,,,PASS,,loss_2plus,risk_ratio,1.627322540051785,0.09893617640334858,1.3404759108581032,1.9755510918994188,8.578736876051971e-07,5507.0,911.0,4596.0,410.0,86.0,324.0
elsa,multimorbidity_progression,competing_composite,graded,death_or_outcome,current_state_held,PASS_STRICT_COMMON_SIX,509,509,27993,8531,4161,23832,22,22,,,,PASS,,loss_1,risk_ratio,0.97236459311254,0.06241547211463265,0.8604011659357763,1.0988977460422116,0.6534327883904746,5507.0,911.0,4596.0,410.0,86.0,324.0
elsa,multimorbidity_progression,competing_composite,graded,death_or_outcome,current_state_held,PASS_STRICT_COMMON_SIX,509,509,27993,8531,4161,23832,22,22,,,,PASS,,loss_2plus,risk_ratio,1.0948470574996525,0.14442160001242862,0.8249384886682766,1.4530660113225282,0.5303763392400951,5507.0,911.0,4596.0,410.0,86.0,324.0
