cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,model_status,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,two_domain_any_n,two_domain_any_events,two_domain_any_nonevents,alcohol_loss_n,alcohol_loss_events,alcohol_loss_nonevents,activity_loss_n,activity_loss_events,activity_loss_nonevents,work_loss_n,work_loss_events,work_loss_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,direction_expansion_n,direction_expansion_events,direction_expansion_nonevents,direction_mixed_n,direction_mixed_events,direction_mixed_nonevents,direction_contraction_1_n,direction_contraction_1_events,direction_contraction_1_nonevents,direction_contraction_2_plus_n,direction_contraction_2_plus_events,direction_contraction_2_plus_nonevents
charls,incident_heart_disease,current_state_decomposition,two_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,1005,1005,34,971,12,12,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_heart_disease,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,1005,1005,34,971,14,14,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,777,777,51,726,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,777,777,51,726,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,777,777,51,726,17,17,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,777,777,51,726,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,777,777,51,726,18,18,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,current_state_decomposition,three_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,777,777,51,726,12,12,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,current_state_decomposition,two_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,777,777,51,726,12,12,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,777,777,51,726,14,14,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_cancer,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,1183,1183,2,1181,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_cancer,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,1183,1183,2,1181,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_cancer,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,1183,1183,2,1181,17,17,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_cancer,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,1183,1183,2,1181,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_cancer,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,1183,1183,2,1181,18,18,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_cancer,current_state_decomposition,three_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,1183,1183,2,1181,12,12,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_cancer,current_state_decomposition,two_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,1183,1183,2,1181,12,12,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_cancer,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,1183,1183,2,1181,14,14,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_arthritis,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,713,713,22,691,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_arthritis,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,713,713,22,691,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_arthritis,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,713,713,22,691,17,17,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_arthritis,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,713,713,22,691,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_arthritis,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,713,713,22,691,18,18,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_arthritis,current_state_decomposition,three_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,713,713,22,691,12,12,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_arthritis,current_state_decomposition,two_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,713,713,22,691,12,12,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_arthritis,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,713,713,22,691,14,14,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_diabetes,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,24700,7582,428,24272,21,21,PASS,5013.0,106.0,4907.0,,any_withdrawal,risk_ratio,0.9874906722446958,0.1989573932366257,0.6686212295335179,1.4584308494820202,0.9495507287311648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_diabetes,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,24700,7582,428,24272,21,21,PASS,,,,,two_domain_any,risk_ratio,0.9740119003902692,0.2132013116833003,0.641338006563073,1.479249900042471,0.9017059919649918,3198.0,80.0,3118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_diabetes,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,24700,7582,428,24272,23,23,PASS,,,,,alcohol_loss,risk_ratio,1.8702837789053304,0.2878008080764849,1.063973999676896,3.2876380576016437,0.0295979966429682,,,,815.0,28.0,787.0,2518.0,61.0,2457.0,2024.0,36.0,1988.0,,,,,,,,,,,,,,,,,,
elsa,incident_diabetes,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,24700,7582,428,24272,23,23,PASS,,,,,activity_loss,risk_ratio,1.1298597883396668,0.2233438911838909,0.7293128868555774,1.7503915868138948,0.5846111941140668,,,,815.0,28.0,787.0,2518.0,61.0,2457.0,2024.0,36.0,1988.0,,,,,,,,,,,,,,,,,,
elsa,incident_diabetes,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,24700,7582,428,24272,23,23,PASS,,,,,work_loss,risk_ratio,1.4764616123926015,0.2263648999243239,0.9474144575137352,2.3009347974166388,0.0851911752255827,,,,815.0,28.0,787.0,2518.0,61.0,2457.0,2024.0,36.0,1988.0,,,,,,,,,,,,,,,,,,
elsa,incident_diabetes,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,24700,7582,428,24272,22,22,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,,,,,,,,,,,,,,,,4677.0,88.0,4589.0,336.0,18.0,318.0,,,,,,,,,,,,
elsa,incident_diabetes,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,24700,7582,428,24272,24,24,NOT_EVALUABLE_DIRECTION_MIXED_EVENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2178.0,52.0,2126.0,320.0,5.0,315.0,,,,,,
elsa,incident_diabetes,current_state_decomposition,three_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,24700,7582,428,24272,18,18,PASS,5013.0,106.0,4907.0,,any_withdrawal,risk_ratio,1.291270880952551,0.1151629361138108,1.0303635542953664,1.618244823436371,0.0264392903569466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_diabetes,current_state_decomposition,two_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,24700,7582,428,24272,18,18,PASS,,,,,two_domain_any,risk_ratio,1.4022055437621137,0.1273341182419967,1.0925081409635091,1.7996940372665629,0.007935587026606,3198.0,80.0,3118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_diabetes,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,24700,7582,428,24272,20,20,PASS,,,,,alcohol_loss,risk_ratio,1.7658218027216404,0.1965138524318922,1.201362247758463,2.59549244600036,0.0038095354527612,,,,815.0,28.0,787.0,2518.0,61.0,2457.0,2024.0,36.0,1988.0,,,,,,,,,,,,,,,,,,
elsa,incident_diabetes,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,24700,7582,428,24272,20,20,PASS,,,,,activity_loss,risk_ratio,1.3458294353692448,0.1405499903960395,1.021771192224607,1.7726638633868896,0.0345834927000971,,,,815.0,28.0,787.0,2518.0,61.0,2457.0,2024.0,36.0,1988.0,,,,,,,,,,,,,,,,,,
elsa,incident_diabetes,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,24700,7582,428,24272,20,20,PASS,,,,,work_loss,risk_ratio,1.231141980383169,0.1911154448010592,0.8465066591848137,1.790547728616123,0.2765753026358608,,,,815.0,28.0,787.0,2518.0,61.0,2457.0,2024.0,36.0,1988.0,,,,,,,,,,,,,,,,,,
elsa,incident_stroke,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,26379,8029,292,26087,21,21,PASS,5443.0,70.0,5373.0,,any_withdrawal,risk_ratio,0.6932107752033355,0.260269370065324,0.4162206424928095,1.154534710195953,0.1591744164733132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_stroke,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,26379,8029,292,26087,21,21,PASS,,,,,two_domain_any,risk_ratio,0.7718919539601065,0.2539834866277095,0.4692079675445215,1.269836042440639,0.3080132397683697,3528.0,60.0,3468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_stroke,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,26379,8029,292,26087,23,23,NOT_EVALUABLE_ALCOHOL_LOSS_EVENTS,,,,,,,,,,,,,,,931.0,11.0,920.0,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_stroke,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,26379,8029,292,26087,22,22,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,,,,,,,,,,,,,,,,5082.0,63.0,5019.0,361.0,7.0,354.0,,,,,,,,,,,,
elsa,incident_stroke,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,26379,8029,292,26087,24,24,NOT_EVALUABLE_DIRECTION_MIXED_EVENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2359.0,20.0,2339.0,372.0,5.0,367.0,,,,,,
elsa,incident_stroke,current_state_decomposition,three_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,26379,8029,292,26087,18,18,PASS,5443.0,70.0,5373.0,,any_withdrawal,risk_ratio,1.1727346773683631,0.1430891057112336,0.8859354901965946,1.5523778409611853,0.2654678505480657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_stroke,current_state_decomposition,two_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,26379,8029,292,26087,18,18,PASS,,,,,two_domain_any,risk_ratio,1.2669892244016472,0.1511618128817185,0.942114640659762,1.703892101311284,0.1174663708058359,3528.0,60.0,3468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_stroke,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,26379,8029,292,26087,20,20,NOT_EVALUABLE_ALCOHOL_LOSS_EVENTS,,,,,,,,,,,,,,,931.0,11.0,920.0,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_heart_disease,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,22487,7020,891,21596,21,21,PASS,4600.0,209.0,4391.0,,any_withdrawal,risk_ratio,1.021829027403877,0.1407069314673243,0.7755472789709048,1.3463196758689482,0.8780282470623266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_heart_disease,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,22487,7020,891,21596,21,21,PASS,,,,,two_domain_any,risk_ratio,0.7661580592190784,0.1488162075566858,0.5723290481331215,1.025630576712946,0.0734692790097593,2910.0,147.0,2763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
