cohort,outcome_id,analysis_family,n,people,events,nonevents,parameters,matrix_rank,model_id,model_status,prefrail_n,prefrail_events,prefrail_nonevents,frail_n,frail_events,frail_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,metric,estimate,ci_low,ci_high,bootstrap_replicates
elsa,incident_stroke,head_to_head_cv_binary_flag,12298,6474,117,12181,20,20,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
elsa,incident_stroke,head_to_head_cv_binary_flag,12298,6474,117,12181,20,20,M1b_any_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
elsa,incident_stroke,head_to_head_cv_binary_flag,12298,6474,117,12181,20,20,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
elsa,incident_stroke,head_to_head_cv_binary_flag,12298,6474,117,12181,20,20,M3b_fried_any_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
elsa,incident_heart_disease,head_to_head_cv,10502,5640,390,10112,21,21,M0_routine,NOT_EVALUABLE_CV_SUPPORT,3894.0,163.0,3731.0,418.0,36.0,382.0,1990.0,88.0,1902.0,136.0,3.0,133.0,,,,,,,,
elsa,incident_heart_disease,head_to_head_cv,10502,5640,390,10112,21,21,M1_withdrawal,NOT_EVALUABLE_CV_SUPPORT,3894.0,163.0,3731.0,418.0,36.0,382.0,1990.0,88.0,1902.0,136.0,3.0,133.0,,,,,,,,
elsa,incident_heart_disease,head_to_head_cv,10502,5640,390,10112,21,21,M2_fried,NOT_EVALUABLE_CV_SUPPORT,3894.0,163.0,3731.0,418.0,36.0,382.0,1990.0,88.0,1902.0,136.0,3.0,133.0,,,,,,,,
elsa,incident_heart_disease,head_to_head_cv,10502,5640,390,10112,21,21,M3_fried_withdrawal,NOT_EVALUABLE_CV_SUPPORT,3894.0,163.0,3731.0,418.0,36.0,382.0,1990.0,88.0,1902.0,136.0,3.0,133.0,,,,,,,,
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,M0_routine,PASS,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,2126.0,91.0,2035.0,c_statistic,0.6429053574326518,0.614714506454262,0.6718324329452605,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,M0_routine,PASS,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,2126.0,91.0,2035.0,brier_score,0.0354586164368851,0.0320687074713875,0.0384838247181254,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,M1b_any_withdrawal,PASS,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,2126.0,91.0,2035.0,c_statistic,0.6426132444823109,0.6147237621395946,0.6710182868009993,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,M1b_any_withdrawal,PASS,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,2126.0,91.0,2035.0,brier_score,0.035462865018204,0.0320771323805132,0.0384895446974364,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,M2_fried,PASS,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,2126.0,91.0,2035.0,c_statistic,0.6424641451639078,0.6139482358734619,0.6711787627123764,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,M2_fried,PASS,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,2126.0,91.0,2035.0,brier_score,0.035460966254797,0.0320674124932339,0.038484121254016,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,M3b_fried_any_withdrawal,PASS,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,2126.0,91.0,2035.0,c_statistic,0.6421882607108081,0.6135050760806345,0.6708788957108728,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,M3b_fried_any_withdrawal,PASS,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,2126.0,91.0,2035.0,brier_score,0.0354652305151802,0.0320753168320173,0.0384895821855558,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,M1b_any_withdrawal_minus_M0_routine,PASS,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,2126.0,91.0,2035.0,delta_c_statistic,-0.0002921129503408,-0.0012649546141279,0.0007679135603339,500.0
