analysis_family,model_id,outcome_id,term,k_cohorts,cohorts,pooled_rr,ci_low,ci_high,prediction_low,prediction_high,i2,tau2_log_scale,direction_above_one,cohort_estimates
current_state_decomposition,domain_specific_without_current_states,incident_arthritis,activity_loss,3,elsa;hrs;share,1.1468588863148936,1.0825017231667318,1.21504222762041,0.9670343462764771,1.3601226369920425,0.0,4.2300630066830894e-13,1.0,elsa:1.1725;hrs:1.1223;share:1.1638
current_state_decomposition,domain_specific_without_current_states,incident_arthritis,alcohol_loss,3,elsa;hrs;share,1.114745499672765,0.8885610491017981,1.3985055166404412,0.382737235966206,3.246764130235825,0.2752310688662114,0.0043006655852216,1.0,elsa:1.1980;hrs:1.1971;share:1.0313
current_state_decomposition,domain_specific_without_current_states,incident_arthritis,work_loss,3,elsa;hrs;share,1.0197942400227005,0.91588865925749,1.1354876834336918,0.7424911951660419,1.400663467464969,0.0,4.2300630066830894e-13,0.6666666666666666,elsa:0.9379;hrs:1.0182;share:1.0481
current_state_decomposition,domain_specific_without_current_states,incident_cancer,activity_loss,3,elsa;hrs;share,1.1722320594310114,0.8683077926155129,1.5825356087369986,0.3015250351566994,4.5572600644711,0.4243156055994875,0.006554167784816734,1.0,elsa:1.0976;hrs:1.0958;share:1.3559
current_state_decomposition,domain_specific_without_current_states,incident_cancer,alcohol_loss,3,elsa;hrs;share,1.0619417372916302,0.8946503259552467,1.260515109294643,0.6401024153134659,1.7617809688309134,0.0,4.2300630066830894e-13,1.0,elsa:1.2202;hrs:1.0205;share:1.0687
current_state_decomposition,domain_specific_without_current_states,incident_cancer,work_loss,3,elsa;hrs;share,1.0809580747482004,0.6565205482647153,1.7797925174646592,0.08099766717741054,14.425975464256474,0.6560508348201403,0.028156369217334318,0.6666666666666666,elsa:1.0326;hrs:1.2916;share:0.8796
current_state_decomposition,domain_specific_without_current_states,incident_diabetes,activity_loss,4,elsa;hrs;klosa;share,1.3221166547837506,1.1739035935026716,1.489042591343424,1.1257872481300542,1.55268453409826,0.0,4.2300630066830894e-13,1.0,elsa:1.3458;hrs:1.2655;klosa:1.2491;share:1.4650
current_state_decomposition,domain_specific_without_current_states,incident_diabetes,alcohol_loss,4,elsa;hrs;klosa;share,1.2743554563040196,1.0359424994949145,1.5676370356497749,0.9631012109784151,1.6862005887854943,0.16313988586887826,4.2300630066830894e-13,1.0,elsa:1.7658;hrs:1.2617;klosa:1.3439;share:1.1649
current_state_decomposition,domain_specific_without_current_states,incident_diabetes,work_loss,4,elsa;hrs;klosa;share,1.1736885891534585,1.134504339375759,1.2142262100707393,1.1210252210618645,1.2288259696817427,0.0,4.2300630066830894e-13,1.0,elsa:1.2311;hrs:1.1597;klosa:1.1687;share:1.1875
current_state_decomposition,domain_specific_without_current_states,incident_heart_disease,activity_loss,3,elsa;hrs;share,1.1238722020288394,0.769333437177061,1.641796216641568,0.14224152882259558,8.879887167611109,0.7969243394205404,0.018704400010505873,1.0,elsa:1.0595;hrs:1.0055;share:1.3318
current_state_decomposition,domain_specific_without_current_states,incident_heart_disease,alcohol_loss,3,elsa;hrs;share,1.148807367029719,0.8981039405565906,1.4694940161645977,0.4118965753643201,3.2041013338710984,0.19611443120877714,0.0032424898683224143,1.0,elsa:1.2667;hrs:1.2111;share:1.0389
current_state_decomposition,domain_specific_without_current_states,incident_heart_disease,work_loss,3,elsa;hrs;share,1.1905720617838842,0.850205873470416,1.6671983557517156,0.28603482806090286,4.9555567897435235,0.3947387230811804,0.0064725176406094905,1.0,elsa:1.3408;hrs:1.2455;share:1.0057
current_state_decomposition,domain_specific_without_current_states,incident_hypertension,activity_loss,4,elsa;hrs;klosa;share,1.0879100401703061,0.793512398414021,1.4915308921056478,0.48118598882102775,2.459648208800123,0.7069912603419987,0.026115090048329796,0.75,elsa:1.2331;hrs:1.1461;klosa:0.7792;share:1.1909
current_state_decomposition,domain_specific_without_current_states,incident_hypertension,alcohol_loss,4,elsa;hrs;klosa;share,1.0602973454055977,0.9436594047642608,1.1913519379961095,0.9057324770029965,1.2412389852621326,0.0,4.2300630066830894e-13,1.0,elsa:1.2913;hrs:1.0654;klosa:1.0409;share:1.0204
